"fungal_taxon","fungal_phylum","fungal_class","fungal_order","fungal_family","fungal_genus","fungal_species","n_insect_partners"
"ASV_377","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Neostagonospora",NA,1
"ASV_3795","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,1
"ASV_3800","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans",1
"ASV_3806","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Mycobernardia","s__incrustans",1
"ASV_3817","p__Ascomycota","c__Sareomycetes","o__Sareales","f__Sareaceae","g__Sarea","s__coeloplata",1
"ASV_3819","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA,1
"ASV_3820","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_383","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Lophiostomataceae_gen_Incertae_sedis",NA,1
"ASV_3834","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Hyaloriaceae","g__Stypella","s__grilletii",1
"ASV_384","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neoantennariellaceae","g__Cippumomyces","s__mortalis",1
"ASV_3844","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans",1
"ASV_385","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Teunia","s__cuniculi",1
"ASV_3856","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Chaetophoma",NA,1
"ASV_387","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,1
"ASV_3882","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA,1
"ASV_3891","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_3896","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae","g__Mycena","s__alcalina",1
"ASV_3913","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Chaetomellaceae","g__Pilidium",NA,1
"ASV_3915","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Melanchlenus",NA,1
"ASV_3916","p__Basidiomycota",NA,NA,NA,NA,NA,1
"ASV_392",NA,NA,NA,NA,NA,NA,1
"ASV_3923","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae","g__Pseudophaeomoniella","s__oleicola",1
"ASV_394","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Paracladophialophoraceae","g__Paracladophialophora",NA,1
"ASV_3948","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA,1
"ASV_3966","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__prunicola",1
"ASV_3972","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum",1
"ASV_398",NA,NA,NA,NA,NA,NA,1
"ASV_3984","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tympanidaceae","g__Vexillomyces",NA,1
"ASV_3987","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Tubulicrinaceae","g__Tubulicrinis","s__subulatus",1
"ASV_3990","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA,1
"ASV_3997","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_4003","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans",1
"ASV_402","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__albida",1
"ASV_4020","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,1
"ASV_4039","p__Basidiomycota","c__Exobasidiomycetes","o__Microstromatales","f__Microstromatales_fam_Incertae_sedis","g__Pseudomicrostroma","s__phylloplanum",1
"ASV_4046","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideales_fam_Incertae_sedis","g__Dothideales_gen_Incertae_sedis",NA,1
"ASV_4055","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA,1
"ASV_406","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__beilinensis",1
"ASV_4061","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Antealophiotrema","s__brunneosporum",1
"ASV_4065","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Pleurotaceae","g__Pleurotus","s__populinus",1
"ASV_4066","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_408","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Capnobotryella","s__renispora",1
"ASV_4089","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA,1
"ASV_411","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Coccomyces","s__strobi",1
"ASV_4113","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium",NA,1
"ASV_4130","p__Ascomycota","c__Eurotiomycetes","o__Coryneliales","f__Coryneliaceae","g__Caliciopsis","s__valentina",1
"ASV_4134","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetidae_ord_Incertae_sedis","f__Rhamphoriaceae","g__Rhodoveronaea","s__varioseptata",1
"ASV_4137","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA,1
"ASV_4141","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_4156","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella",NA,1
"ASV_418","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Microcera","s__physciae",1
"ASV_42","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA,1
"ASV_4208","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Vibrisseaceae","g__Vibrissea","s__truncorum",1
"ASV_4211","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae",NA,NA,1
"ASV_4216","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paracamarosporium",NA,1
"ASV_4233","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,1
"ASV_4255","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_4267","p__Basidiomycota",NA,NA,NA,NA,NA,1
"ASV_4271","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Crepidotaceae","g__Crepidotus","s__applanatus",1
"ASV_4276","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae",NA,NA,1
"ASV_428","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium",NA,1
"ASV_4281","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Phellinus","s__viticola",1
"ASV_4288","p__Ascomycota","c__Sordariomycetes","o__Calosphaeriales","f__Calosphaeriaceae","g__Jattaea","s__taediosa",1
"ASV_4291","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria","s__quercina",1
"ASV_4296",NA,NA,NA,NA,NA,NA,1
"ASV_43","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Microbotryomycetes_fam_Incertae_sedis","g__Curvibasidium",NA,1
"ASV_430","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA,1
"ASV_4311","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_432","p__Ascomycota","c__Candelariomycetes","o__Candelariales","f__Candelariaceae","g__Candelaria","s__concolor",1
"ASV_4325","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Antrodia","s__heteromorpha",1
"ASV_4336","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycodaceae","g__Hanseniaspora",NA,1
"ASV_4344","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_4352","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__stigma",1
"ASV_4353","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae",NA,NA,1
"ASV_4357","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Rhizosphaera",NA,1
"ASV_436","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,1
"ASV_4361","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,1
"ASV_4376","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_4385","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Pestalotiopsidaceae","g__Pestalotiopsis","s__jesteri",1
"ASV_4413",NA,NA,NA,NA,NA,NA,1
"ASV_4432","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA,1
"ASV_4438","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Catillariaceae","g__Catillaria",NA,1
"ASV_4440","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans",1
"ASV_445","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_446","p__Ascomycota","c__Dothideomycetes","o__Capnodiales",NA,NA,NA,1
"ASV_4461","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Trechisporales_fam_Incertae_sedis","g__Sertulicium","s__jacksonii",1
"ASV_4463","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Pascua","s__guehoae",1
"ASV_4473","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Vibrisseaceae","g__Vibrissea","s__flavovirens",1
"ASV_4474","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Neocladophialophora","s__quercina",1
"ASV_4476","p__Ascomycota","c__Sordariomycetes","o__Sordariomycetes_ord_Incertae_sedis","f__Sordariomycetes_fam_Incertae_sedis","g__Oncopodiella","s__trigonella",1
"ASV_448","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Cerioporus","s__mollis",1
"ASV_4495","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Nemania","s__caries",1
"ASV_450","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetales_fam_Incertae_sedis","g__Trichaptum","s__biforme",1
"ASV_4502","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniastraceae","g__Pucciniastraceae_gen_Incertae_sedis",NA,1
"ASV_4504","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Radulomycetaceae","g__Radulomyces","s__paumanokensis",1
"ASV_4505",NA,NA,NA,NA,NA,NA,1
