"sample_id","site","lure","date","trap_id","total_individuals","insect_shannon","insect_simpson_dominance","insect_richness","fungal_shannon","fungal_simpson_dominance","fungal_richness"
"NH.61","Manchester Airport","Ips",2024-06-26,"M3-I",49,2.94929304247092,0.0720533111203665,26,2.84376434765518,0.240923514400001,351.44
"NH.62","Manchester Cedar Swamp","Ips",2024-06-26,"C3-I",33,2.7567455829495,0.114784205693297,23,3.41286048521148,0.106405815200001,386.93
"NH.65","Durham","Ips",2024-05-29,"D3-I",176,2.15722450800246,0.289901859504132,36,3.46718020329467,0.181812368000002,536.99
"NH.66","Durham","Alpha-pinene_EtOH",2024-07-10,"D2-EA",77,3.15806244293148,0.0720188902007083,38,4.43977292427504,0.0610703080000006,704.28
"NH.67","Durham","Alpha-pinene_EtOH",2024-06-26,"D2-EA",125,3.22671068799485,0.063552,43,3.90787763228271,0.0627025288000009,470.91
"NH.68","Manchester Cedar Swamp","Ips",2024-06-12,"C3-I",63,2.60877150972532,0.148904006046863,28,2.82260214440528,0.159932575200001,281.15
"NH.69","Manchester Airport","Ethanol",2024-05-29,"M1-E",250,2.69924139370771,0.141024,51,3.41052909814334,0.133939874400002,416.37
"NH.70","Pease","Alpha-pinene_EtOH",2024-06-12,"P2-EA",187,3.10325988658022,0.0829591924275787,51,2.21298935272612,0.274772915999997,308.06
"NH.72","Pease","Ethanol",2024-05-29,"P1-E",667,2.37635468070226,0.144860852931855,55,3.65532201693251,0.134675900000002,571.49
"NH.73","Durham","Ethanol",2024-06-12,"D1-E",65,2.45944408000124,0.14508875739645,23,2.93588363419188,0.161750988000001,357.48
"NH.74","Manchester Airport","Alpha-pinene_EtOH",2024-06-26,"M2-EA",124,3.26407019282379,0.0935223725286159,54,2.06898952926673,0.466347703999997,321.23
"NH.75","Manchester Airport","Alpha-pinene_EtOH",2024-07-10,"M2-EA",80,3.37822542396981,0.05125,40,4.41938428197242,0.0554657615999998,672.57
"NH.76","Manchester Airport","Ips",2024-05-29,"M3-I",68,2.76945727588797,0.124134948096886,30,2.50526635861836,0.275238950399997,280.75
"NH.77","Durham","Alpha-pinene_EtOH",2024-06-12,"D2-EA",132,2.88451202030564,0.0864325068870524,34,3.74716486619139,0.0967587080000018,493
"NH.78","Manchester Cedar Swamp","Ethanol",2024-06-26,"C1-E",73,3.3386750156575,0.0455995496340777,36,3.78573653946683,0.0851780928000016,450.17
"NH.81","Manchester Cedar Swamp","Ethanol",2024-05-15,"C1-E",202,2.50588222458883,0.128712871287129,32,5.55150514210635,0.00897638879999997,675.74
"NH.84","Manchester Airport","Alpha-pinene_EtOH",2024-05-15,"M2-EA",86,2.78668462362193,0.107896160086533,28,4.60962655809105,0.0444452383999998,585.08
