"metric","rho","S_stat","p_value","n"
"shannon",-0.264381417719586,66246,0.0296484852396835,68
"simpson_dominance",-0.120509982059014,58708,0.326820605384712,68
"richness",-0.118536787130676,58604.6164249246,0.33566951860941,68
