	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_159	100	100	100	100	100	89	72
ASV_160	100	100	100	100	100	100	63
ASV_161	100	100	100	100	100	100	38
ASV_162	100	100	100	100	100	100	100
ASV_163	98	46	46	46	46	46	46
ASV_164	100	100	100	100	100	100	94
ASV_165	100	100	100	100	100	100	100
ASV_166	100	100	100	100	100	100	100
ASV_167	100	100	100	100	100	100	100
ASV_168	100	100	100	100	100	100	100
ASV_169	100	100	100	100	100	78	51
ASV_170	89	83	82	82	47	47	41
ASV_171	100	100	100	100	100	100	60
ASV_172	100	100	100	100	100	100	98
ASV_173	100	100	100	100	100	100	97
ASV_174	100	64	64	64	56	26	26
ASV_175	57	57	57	54	49	42	42
ASV_176	100	100	100	100	100	100	100
ASV_177	100	100	100	100	100	100	80
ASV_178	100	100	100	100	100	100	29
ASV_179	22	22	22	22	22	22	22
ASV_180	100	100	100	100	86	86	86
ASV_181	100	100	100	100	100	100	99
ASV_182	95	95	95	95	95	95	87
ASV_183	100	100	100	100	88	88	86
ASV_184	100	100	100	100	66	66	63
ASV_185	100	100	49	49	49	49	49
ASV_186	99	95	95	94	46	46	46
ASV_187	100	100	100	100	100	100	100
ASV_188	100	100	100	100	99	99	99
ASV_189	99	99	99	99	73	50	47
ASV_190	99	99	98	98	97	97	89
ASV_191	100	100	100	100	100	100	100
ASV_192	100	100	99	99	99	59	40
ASV_193	100	100	100	77	77	75	75
ASV_194	100	100	100	100	95	88	85
ASV_195	19	18	15	0	0	0	0
ASV_196	93	92	90	90	85	80	61
ASV_197	46	46	46	46	46	46	46
ASV_198	76	76	76	76	10	10	9
ASV_199	100	100	100	100	100	100	100
ASV_200	100	100	100	100	75	62	50
ASV_201	98	98	98	98	98	98	89
ASV_202	81	81	76	76	71	69	54
ASV_203	99	99	97	97	97	97	55
ASV_204	100	100	100	100	100	100	100
ASV_205	100	100	41	41	41	41	41
ASV_206	100	100	100	100	100	100	100
ASV_207	100	73	73	72	72	24	21
ASV_208	100	100	100	100	100	100	100
ASV_209	100	100	100	100	100	100	82
ASV_210	95	95	94	94	88	71	68
ASV_211	100	100	100	100	100	100	100
ASV_212	100	100	94	91	91	45	36
ASV_213	100	100	68	68	68	68	37
ASV_214	100	100	98	98	98	94	46
ASV_215	100	100	100	100	100	100	44
ASV_216	99	99	99	99	99	99	99
ASV_217	100	100	100	100	100	100	100
ASV_218	100	100	99	99	99	91	30
ASV_219	100	100	100	100	100	100	91
ASV_220	100	100	100	100	100	100	100
ASV_221	100	100	100	100	100	100	100
ASV_222	100	100	95	95	95	79	59
ASV_223	93	93	93	93	93	87	66
ASV_224	100	100	100	100	100	88	73
ASV_225	42	42	42	42	42	42	28
ASV_226	100	100	98	98	98	57	43
ASV_227	100	100	91	91	91	91	91
ASV_228	100	100	83	70	70	70	63
ASV_229	100	100	100	100	100	100	100
ASV_230	100	100	100	100	100	100	100
ASV_231	100	100	100	100	57	57	57
ASV_232	100	99	97	97	96	96	95
ASV_233	98	98	52	52	52	49	43
ASV_234	100	100	100	100	100	100	50
ASV_235	91	73	73	71	44	16	15
ASV_236	100	100	100	100	100	100	100
ASV_237	100	100	100	100	99	99	89
ASV_238	100	83	83	83	83	83	18
ASV_239	100	80	80	80	65	29	27
ASV_240	100	100	100	100	100	100	100
ASV_241	100	100	100	100	100	100	100
ASV_242	100	100	100	100	100	99	99
ASV_243	100	100	100	100	100	100	100
ASV_244	100	100	100	100	100	100	100
ASV_245	100	100	59	59	59	59	49
ASV_246	100	100	100	91	91	91	91
ASV_247	100	100	100	100	100	97	97
ASV_248	100	100	100	100	100	100	81
ASV_249	100	100	97	97	97	88	85
ASV_250	100	100	100	100	100	99	83
ASV_251	100	100	100	100	100	100	60
ASV_252	100	100	100	100	100	100	100
ASV_253	100	100	100	100	100	63	63
ASV_254	100	100	100	100	100	100	74
ASV_255	100	100	100	100	100	100	95
ASV_256	100	100	100	100	100	100	97
ASV_257	48	48	48	48	48	48	48
ASV_258	100	100	100	100	100	100	100
ASV_259	100	100	100	100	100	100	87
ASV_260	100	100	100	100	100	100	100
ASV_261	100	100	100	100	100	100	100
ASV_262	98	94	94	92	24	24	24
ASV_263	100	100	100	100	98	98	57
ASV_264	100	100	100	100	99	99	71
ASV_265	100	100	100	100	100	100	100
ASV_266	18	18	9	9	9	9	9
ASV_267	100	79	79	79	66	14	14
ASV_268	100	100	100	100	100	100	100
ASV_269	75	72	72	72	72	61	31
ASV_270	100	100	100	100	100	99	39
ASV_271	100	100	100	100	100	100	100
ASV_272	100	100	100	100	100	99	88
ASV_273	100	100	100	100	100	100	99
ASV_274	100	100	100	100	100	100	98
ASV_275	100	100	100	100	100	100	67
ASV_276	97	53	53	53	53	53	51
ASV_277	100	100	100	100	100	100	100
ASV_278	99	99	99	99	99	93	63
ASV_279	100	100	100	100	95	95	95
ASV_280	99	99	99	99	99	99	99
ASV_281	100	100	43	43	43	43	43
ASV_282	100	100	82	82	82	82	82
ASV_283	100	100	100	100	100	98	36
ASV_284	100	100	100	100	100	54	51
ASV_285	100	76	76	76	76	52	52
ASV_286	100	100	100	99	91	91	91
ASV_287	99	99	99	99	99	99	99
ASV_288	100	100	100	100	100	100	100
ASV_289	100	100	100	100	100	99	99
ASV_290	100	100	100	100	100	100	92
ASV_291	100	100	100	100	100	82	40
ASV_292	100	100	100	100	100	99	99
ASV_293	100	100	100	100	100	100	97
ASV_294	100	100	100	100	100	100	100
ASV_295	99	99	32	32	32	32	32
ASV_296	100	100	100	100	100	99	99
ASV_297	89	17	17	16	15	15	13
ASV_298	100	100	100	100	100	100	100
ASV_299	100	100	100	100	100	54	54
ASV_300	100	100	100	100	100	100	100
ASV_301	100	100	100	100	100	100	100
ASV_302	100	100	100	100	100	100	100
ASV_303	100	81	81	58	58	58	58
ASV_304	100	100	100	100	100	100	100
ASV_305	100	100	100	100	100	100	62
ASV_306	100	100	100	100	99	99	67
ASV_307	100	100	100	100	100	100	99
ASV_308	100	100	100	100	76	50	50
ASV_309	100	100	100	100	100	100	76
ASV_310	83	80	42	35	35	35	20
ASV_311	100	100	100	95	93	81	47
ASV_312	99	76	75	70	70	48	13
ASV_313	100	98	53	53	43	41	35
ASV_314	75	75	75	71	69	11	11
ASV_315	100	100	41	41	41	41	41
ASV_316	100	100	100	100	100	100	100
ASV_317	100	100	100	100	57	57	51
ASV_318	99	99	51	51	44	44	44
ASV_319	100	100	97	97	74	12	10
ASV_320	100	100	100	100	100	99	58
ASV_321	100	100	100	100	100	100	91
ASV_322	100	34	34	33	24	24	24
ASV_323	89	89	89	89	89	88	57
