	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_16609	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Coryneliales	f__Coryneliaceae	g__Coryneliaceae_gen_Incertae_sedis	NA
ASV_16610	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Piskurozyma	s__silvicultrix
ASV_16611	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Epibryaceae	g__Epibryon	s__interlamellare
ASV_16612	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Tremellaceae	g__Sirotrema	s__translucens
ASV_16613	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__conicus
ASV_16614	NA	NA	NA	NA	NA	NA	NA
ASV_16615	k__Fungi	p__Ascomycota	c__Orbiliomycetes	o__Orbiliales	f__Orbiliaceae	g__Orbilia	s__clavuliformis
ASV_16616	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Ostropales	f__Stictidaceae	NA	NA
ASV_16617	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Tubeufiales	f__Tubeufiaceae	g__Acanthostigma	NA
ASV_16618	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Caliciales	f__Caliciaceae	NA	NA
ASV_16619	k__Fungi	p__Ascomycota	c__Taphrinomycetes	o__Taphrinales	f__Taphrinaceae	g__Taphrina	s__communis
ASV_16620	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_16621	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Tremellales_fam_Incertae_sedis	g__Tremellales_gen_Incertae_sedis	NA
ASV_16622	NA	NA	NA	NA	NA	NA	NA
ASV_16623	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Polyporaceae	g__Cyanosporus	s__cyanescens
ASV_16624	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Teichosporaceae	g__Teichosporaceae_gen_Incertae_sedis	NA
ASV_16625	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	NA	NA
ASV_16626	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	NA	NA	NA
ASV_16627	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	NA	NA	NA
ASV_16628	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_16629	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__dimennae
ASV_16630	k__Fungi	p__Basidiomycota	c__Agaricomycetes	NA	NA	NA	NA
ASV_16631	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	NA	NA
ASV_16632	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Venturiales	f__Sympoventuriaceae	g__Scolecobasidium	s__cordanae
ASV_16633	NA	NA	NA	NA	NA	NA	NA
ASV_16634	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_16635	k__Fungi	p__Ascomycota	c__Pezizomycotina_cls_Incertae_sedis	o__Pezizomycotina_ord_Incertae_sedis	f__Pezizomycotina_fam_Incertae_sedis	g__Harpographium	s__fasciculatum
ASV_16636	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	NA
ASV_16637	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Polyporaceae	g__Coriolopsis	s__gallica
ASV_16638	NA	NA	NA	NA	NA	NA	NA
ASV_16639	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_16640	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	s__ligniaria
ASV_16641	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Priceomyces	s__castillae
ASV_16642	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Rhynchogastremataceae	g__Papiliotrema	s__flavescens
ASV_16643	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Graphostromataceae	g__Graphostroma	s__platystoma
ASV_16644	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_16645	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Auriculariaceae	g__Auricularia	s__auricula-judae
ASV_16646	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Tympanidaceae	NA	NA
ASV_16647	k__Fungi	p__Ascomycota	c__Lecanoromycetes	NA	NA	NA	NA
ASV_16648	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Microbotryomycetes_fam_Incertae_sedis	g__Curvibasidium	NA
ASV_16649	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	g__Bjerkandera	s__adusta
ASV_16650	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Sarcosomataceae	g__Donadinia	s__seaveri
ASV_16651	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Tubeufiales	f__Tubeufiaceae	g__Helicoma	s__fumosum
ASV_16652	k__Fungi	p__Ascomycota	c__Lecanoromycetes	NA	NA	NA	NA
ASV_16653	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Coryneliales	NA	NA	NA
ASV_16654	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Parafenestella	NA
ASV_16655	NA	NA	NA	NA	NA	NA	NA
ASV_16656	k__Fungi	p__Basidiomycota	c__Agaricomycetes	NA	NA	NA	NA
ASV_16657	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreales_fam_Incertae_sedis	g__Barbatosphaeria	s__dryina
ASV_16658	NA	NA	NA	NA	NA	NA	NA
ASV_16659	NA	NA	NA	NA	NA	NA	NA
ASV_16660	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Cucurbitariaceae	g__Allocucurbitaria	s__botulispora
ASV_16661	NA	NA	NA	NA	NA	NA	NA
ASV_16662	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	g__Phlebiopsis	s__gigantea
ASV_16663	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Myxotrichum	s__stipitatum
ASV_16664	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_16665	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Piskurozyma	s__cylindrica
ASV_16666	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	g__Bjerkandera	s__adusta
ASV_16667	NA	NA	NA	NA	NA	NA	NA
ASV_16668	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_16669	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	g__Phanerochaete	NA
ASV_16670	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Podoscyphaceae	g__Hypochnicium	NA
ASV_16671	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_16672	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Phaffomycetaceae	g__Barnettozyma	NA
ASV_16673	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetales_fam_Incertae_sedis	g__Starmerella	NA
ASV_16674	NA	NA	NA	NA	NA	NA	NA
ASV_16675	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_16676	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Peniophoraceae	g__Peniophora	s__cinerea
ASV_16677	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Irpicaceae	g__Ceriporia	NA
ASV_16678	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanoromycetes_ord_Incertae_sedis	f__Lecanoromycetes_fam_Incertae_sedis	g__Lecanoromycetes_gen_Incertae_sedis	NA
ASV_16679	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_16680	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Cladoniaceae	g__Cladonia	s__coniocraea
ASV_16681	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Golubeviales	f__Golubeviaceae	g__Golubevia	s__pallescens
ASV_16682	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Parmeliaceae	g__Flavoparmelia	s__caperata
ASV_16683	NA	NA	NA	NA	NA	NA	NA
ASV_16684	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Mrakia	s__frigida
ASV_16685	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Auriscalpiaceae	g__Artomyces	s__pyxidatus
ASV_16686	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Boliniales	f__Boliniaceae	NA	NA
ASV_16687	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleomassariaceae	g__Pleomassariaceae_gen_Incertae_sedis	NA
ASV_16688	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Graphostromataceae	g__Graphostroma	NA
ASV_16689	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Teloschistales	f__Teloschistaceae	g__Caloplaca	s__ahtii
