"Order","Family","direction","n"
"Pleosporales","Phaeosphaeriaceae","Earlier season (t<0)",6
"Pleosporales","Phaeosphaeriaceae","Later season (t>0)",6
"Pleosporales","Unclassified","Later season (t>0)",5
"Pleosporales","Melanommataceae","Later season (t>0)",2
"Pleosporales","Pleosporaceae","Earlier season (t<0)",1
"Polyporales","Other","Later season (t>0)",32
"Polyporales","Meruliaceae","Later season (t>0)",17
"Polyporales","Hyphodermataceae","Later season (t>0)",16
"Polyporales","Phanerochaetaceae","Earlier season (t<0)",13
"Polyporales","Polyporaceae","Earlier season (t<0)",13
"Polyporales","Irpicaceae","Later season (t>0)",12
"Polyporales","Fomitopsidaceae","Earlier season (t<0)",11
"Polyporales","Fomitopsidaceae","Later season (t>0)",9
"Polyporales","Polyporaceae","Later season (t>0)",8
"Polyporales","Phanerochaetaceae","Later season (t>0)",7
"Polyporales","Meruliaceae","Earlier season (t<0)",3
"Polyporales","Other","Earlier season (t<0)",2
"Polyporales","Irpicaceae","Earlier season (t<0)",1
"Russulales","Peniophoraceae","Later season (t>0)",46
"Russulales","Stereaceae","Earlier season (t<0)",5
"Russulales","Auriscalpiaceae","Later season (t>0)",3
"Russulales","Lachnocladiaceae","Later season (t>0)",2
"Russulales","Stereaceae","Later season (t>0)",2
"Russulales","Hericiaceae","Later season (t>0)",1
"Tremellales","Bulleribasidiaceae","Later season (t>0)",55
"Tremellales","Other","Later season (t>0)",14
"Tremellales","Unclassified","Later season (t>0)",13
"Tremellales","Rhynchogastremataceae","Later season (t>0)",12
"Tremellales","Cryptococcaceae","Later season (t>0)",11
"Tremellales","Bulleraceae","Later season (t>0)",6
"Tremellales","Tremellaceae","Earlier season (t<0)",3
"Tremellales","Tremellaceae","Later season (t>0)",2
"Tremellales","Other","Earlier season (t<0)",1
"Xylariales","Diatrypaceae","Earlier season (t<0)",36
"Xylariales","Amphisphaeriaceae","Later season (t>0)",12
"Xylariales","Graphostromataceae","Earlier season (t<0)",5
"Xylariales","Sporocadaceae","Later season (t>0)",4
"Xylariales","Diatrypaceae","Later season (t>0)",1
"Xylariales","Graphostromataceae","Later season (t>0)",1
"Xylariales","Hypoxylaceae","Earlier season (t<0)",1
"Xylariales","Hypoxylaceae","Later season (t>0)",1
"Xylariales","Other","Later season (t>0)",1
"Xylariales","Sporocadaceae","Earlier season (t<0)",1
"Xylariales","Xylariales_fam_Incertae_sedis","Earlier season (t<0)",1
"Xylariales","Xylariales_fam_Incertae_sedis","Later season (t>0)",1
