"taxon","n_samples_present","n_dates_present","first_date","last_date","window_days","t_stat","q_value","t_stat_quad","q_value_quad","shape","beta_std","beta_std_quad","date_significant"
"ASV_1",7,4,2024-05-15,2024-06-26,42,0.960871058082901,0.545733695652174,-0.587921952457728,0.845958077493119,"no significant date pattern",0.117646058720414,-0.0719840452230238,FALSE
"ASV_3",67,6,2024-05-01,2024-07-10,70,10.8657174877601,0.00713385826771654,-8.21348478795695,0.0212818791946309,"hump (peaks mid-season)",0.666006088677069,-0.503444440886653,TRUE
"ASV_4",7,2,2024-05-29,2024-06-26,28,1.474738800028,0.29975564803805,-1.19644170197823,0.567409045889733,"no significant date pattern",0.183133388087289,-0.148575865087854,FALSE
"ASV_5",6,4,2024-05-01,2024-06-26,56,-0.0818897217142777,0.965755577109602,0.91610869233026,0.670424552429668,"no significant date pattern",-0.0102591299882947,0.114771073358423,FALSE
"ASV_7",69,6,2024-05-01,2024-07-10,70,2.76174220193888,0.023824192336589,-7.49353587870482,0.0212818791946309,"hump (peaks mid-season)",0.240635550986492,-0.6529316878769,TRUE
"ASV_8",5,3,2024-05-15,2024-06-12,28,0.302341554499007,0.856816233309909,-1.05775551560496,0.599055415617128,"no significant date pattern",0.0368947010622885,-0.129079048337707,FALSE
"ASV_9",37,6,2024-05-01,2024-07-10,70,1.70268812463026,0.209797381116471,-0.916580246605282,0.644474226804124,"no significant date pattern",0.181996865813233,-0.0979723662726241,FALSE
"ASV_10",41,6,2024-05-01,2024-07-10,70,-3.07175445722962,0.023824192336589,-2.47858604946362,0.115010362694301,"linear decrease (early-season)",-0.27052496089553,-0.21828764164738,TRUE
"ASV_11",26,6,2024-05-01,2024-07-10,70,2.72970630354371,0.0303444976076555,1.3510458343175,0.494902931100114,"linear increase (late-season)",0.302652118383756,0.149796677298292,TRUE
"ASV_15",13,4,2024-05-01,2024-06-12,42,-3.38302477798892,0.00713385826771654,1.86933925589867,0.290504516129032,"linear decrease (early-season)",-0.377010751149744,0.208324805327964,TRUE
"ASV_16",12,3,2024-05-29,2024-06-26,28,1.26276318647109,0.372856678406936,-3.16395898944579,0.0323571428571429,"hump (peaks mid-season)",0.141131516393326,-0.353620344720228,TRUE
"ASV_19",20,6,2024-05-01,2024-07-10,70,-1.53515509288461,0.276585995085995,-0.396692400468173,0.88609776370473,"no significant date pattern",-0.176566863346491,-0.0456262868965112,FALSE
"ASV_21",11,6,2024-05-01,2024-07-10,70,-1.52524803286351,0.234578599735799,-0.549842180841563,0.839945642795513,"no significant date pattern",-0.179614532858192,-0.064750534096976,FALSE
"ASV_23",7,5,2024-05-15,2024-07-10,56,0.164253473626052,0.930343457943925,0.150092014354984,0.965885519591141,"no significant date pattern",0.0207220939231676,0.0189356825117757,FALSE
"ASV_24",5,3,2024-06-12,2024-07-10,28,2.60086424675826,0.0367297297297297,1.2087902175063,0.553820591233435,"linear increase (late-season)",0.307357422427175,0.142850333810017,TRUE
"ASV_26",69,6,2024-05-01,2024-07-10,70,7.7168091720165,0.00713385826771654,1.78841165165289,0.3517696,"linear increase (late-season)",0.677736476978048,0.157070596381293,TRUE
"ASV_29",48,6,2024-05-01,2024-07-10,70,5.01123908780869,0.00713385826771654,-4.27878787791646,0.0212818791946309,"hump (peaks mid-season)",0.440803017595312,-0.376378228753952,TRUE
"ASV_30",67,6,2024-05-01,2024-07-10,70,-1.37136046397161,0.318203596287703,-2.22876633175108,0.163097922848665,"no significant date pattern",-0.133415959712895,-0.21683281127031,FALSE
"ASV_31",60,6,2024-05-01,2024-07-10,70,8.88137055238388,0.00713385826771654,2.14823238868928,0.209826302729529,"linear increase (late-season)",0.715667369476065,0.17310786021782,TRUE
"ASV_32",29,6,2024-05-01,2024-07-10,70,3.02167743641618,0.0116903225806452,1.01356009674921,0.615747013782542,"linear increase (late-season)",0.257803302216008,0.0864757188122586,TRUE
"ASV_34",8,4,2024-05-15,2024-07-10,56,0.756011506244783,0.606121328224776,-0.0309808139045565,0.993093090211132,"no significant date pattern",0.0920009329752182,-0.00377017015529914,FALSE
"ASV_35",61,6,2024-05-01,2024-07-10,70,6.94708207243744,0.00713385826771654,-7.1338254523533,0.0212818791946309,"hump (peaks mid-season)",0.522221528602107,-0.536264592440035,TRUE
"ASV_41",23,6,2024-05-01,2024-07-10,70,-1.7361504925437,0.196859259259259,-1.50706048068603,0.406613468634686,"no significant date pattern",-0.188087487064498,-0.163270423730753,FALSE
"ASV_42",62,6,2024-05-01,2024-07-10,70,3.77329459247149,0.0116903225806452,-2.74105948725509,0.0887682737169518,"hump (peaks mid-season)",0.379443200100197,-0.27564417802168,TRUE
"ASV_43",66,6,2024-05-01,2024-07-10,70,3.28243217408257,0.0159614093959732,-6.21970513654419,0.0212818791946309,"hump (peaks mid-season)",0.312886727570442,-0.592878195458364,TRUE
"ASV_44",10,3,2024-06-12,2024-07-10,28,1.94499894603192,0.121910572503134,-1.53074514609058,0.374927855711423,"no significant date pattern",0.233043948708469,-0.183411115862354,FALSE
"ASV_47",7,6,2024-05-01,2024-07-10,70,0.76570176550496,0.631025031289111,0.585494259020184,0.82770868596882,"no significant date pattern",0.0933934750574275,0.0714140773941489,FALSE
"ASV_50",69,6,2024-05-01,2024-07-10,70,-1.84650206559894,0.168015671641791,-0.121332083184548,0.972842263395093,"no significant date pattern",-0.175572369537129,-0.01153682563533,FALSE
"ASV_51",66,6,2024-05-01,2024-07-10,70,1.45150958388549,0.302268206039076,4.87289899303709,0.0212818791946309,"dip (troughs mid-season)",0.152625844721514,0.512389102084643,TRUE
"ASV_54",19,6,2024-05-01,2024-07-10,70,-0.734306445804562,0.62142551405791,-1.95957714799992,0.241194630872483,"no significant date pattern",-0.0719563089010816,-0.192025190776911,FALSE
"ASV_56",69,6,2024-05-01,2024-07-10,70,1.27719057189431,0.330949517867272,-2.71393021875285,0.074486577181208,"hump (peaks mid-season)",0.14757353996461,-0.313585353475936,TRUE
"ASV_57",68,6,2024-05-01,2024-07-10,70,-1.14001993020608,0.399810874704492,-1.42017945877007,0.400266479663394,"no significant date pattern",-0.107467434039732,-0.133878847317262,FALSE
"ASV_58",63,6,2024-05-01,2024-07-10,70,3.37351936679153,0.00713385826771654,-4.83205949974447,0.0212818791946309,"hump (peaks mid-season)",0.334987640787683,-0.47982420446219,TRUE
"ASV_63",6,3,2024-05-15,2024-06-26,42,-0.754163455650866,0.632615160349854,-0.204556904355703,0.959201254573968,"no significant date pattern",-0.0945324998460226,-0.02564094950139,FALSE
"ASV_65",69,6,2024-05-01,2024-07-10,70,5.4138941047094,0.00713385826771654,8.42066264234825,0.0212818791946309,"dip (troughs mid-season)",0.419027858435081,0.651754008886172,TRUE
"ASV_67",57,6,2024-05-01,2024-07-10,70,7.47747556771663,0.00713385826771654,-5.97576343820339,0.0212818791946309,"hump (peaks mid-season)",0.599450516336115,-0.47906675597458,TRUE
"ASV_68",65,6,2024-05-01,2024-07-10,70,-1.29303926002814,0.359310231023102,-9.7806134361221,0.0212818791946309,"hump (peaks mid-season)",-0.0868078037727474,-0.656625060511865,TRUE
"ASV_69",69,6,2024-05-01,2024-07-10,70,-4.29437266997374,0.00713385826771654,1.59541187291204,0.386330409356725,"linear decrease (early-season)",-0.430700030477007,0.160011904381977,TRUE
"ASV_71",68,6,2024-05-01,2024-07-10,70,4.34766243624721,0.00713385826771654,5.58445386229993,0.0212818791946309,"dip (troughs mid-season)",0.404636421555595,0.519749599781671,TRUE
"ASV_72",66,6,2024-05-01,2024-07-10,70,-6.85438899691177,0.00713385826771654,1.18563365822568,0.535566502463054,"linear decrease (early-season)",-0.59635543792486,0.103155231462188,TRUE
"ASV_73",11,5,2024-05-01,2024-06-26,56,-2.71632524661808,0.0269108910891089,0.962662251798583,0.640035618878005,"linear decrease (early-season)",-0.288330736763666,0.102185062774243,TRUE
"ASV_74",6,1,2024-06-12,2024-06-12,0,1.12690528904757,0.451750188111362,-1.98939813199021,0.206977405857741,"no significant date pattern",0.136809548336913,-0.241521056484315,FALSE
"ASV_75",23,4,2024-05-29,2024-07-10,42,6.39067183622922,0.00713385826771654,1.77384030882085,0.304228782287823,"linear increase (late-season)",0.592001094562192,0.164321660323551,TRUE
"ASV_76",16,6,2024-05-01,2024-07-10,70,-2.41405704724688,0.0841444717444717,0.81203058981951,0.724658511192087,"linear decrease (early-season)",-0.286775187164335,0.0964652146176534,TRUE
"ASV_77",53,6,2024-05-01,2024-07-10,70,5.45095610260698,0.00713385826771654,-6.5080686954128,0.0212818791946309,"hump (peaks mid-season)",0.458906277358618,-0.547908129584743,TRUE
"ASV_79",11,2,2024-05-01,2024-05-15,14,-3.98238009110701,0.00713385826771654,1.8637559095941,0.293946666666667,"linear decrease (early-season)",-0.427832621038204,0.200227867817109,TRUE
"ASV_80",9,3,2024-05-01,2024-05-29,28,-3.13202947177646,0.00713385826771654,0.698724922607485,0.778545762711864,"linear decrease (early-season)",-0.330551063919174,0.0737434167012606,TRUE
"ASV_81",65,6,2024-05-01,2024-07-10,70,-12.7911004410766,0.00713385826771654,-1.49362705614582,0.421862527716186,"linear decrease (early-season)",-0.834450244953494,-0.0974403895014715,TRUE
"ASV_82",65,6,2024-05-01,2024-07-10,70,-2.00674380164298,0.152051044083527,-3.28269901442389,0.0512484848484848,"hump (peaks mid-season)",-0.197624631936765,-0.323284223084367,TRUE
"ASV_84",69,6,2024-05-01,2024-07-10,70,6.18670980902328,0.00713385826771654,1.56419624576446,0.403742565055762,"linear increase (late-season)",0.561674373183432,0.142010483114653,TRUE
"ASV_85",68,6,2024-05-01,2024-07-10,70,-7.15937248763607,0.00713385826771654,2.58407084514633,0.115010362694301,"linear decrease (early-season)",-0.645154122312869,0.232861256387322,TRUE
"ASV_88",41,6,2024-05-01,2024-07-10,70,-7.9702167263028,0.00713385826771654,2.47070026012845,0.11007476635514,"linear decrease (early-season)",-0.520269220800325,0.161280687415649,TRUE
"ASV_89",16,6,2024-05-01,2024-07-10,70,-3.01982356099228,0.0159614093959732,0.198554402435372,0.943851533082302,"linear decrease (early-season)",-0.333738122025368,0.0219436097721495,TRUE
"ASV_90",64,6,2024-05-01,2024-07-10,70,3.96675481084918,0.00713385826771654,-6.86624419480007,0.0212818791946309,"hump (peaks mid-season)",0.338948043508125,-0.586707069379195,TRUE
"ASV_92",67,6,2024-05-01,2024-07-10,70,0.597299700016222,0.681894673847995,-3.97494804715728,0.0212818791946309,"hump (peaks mid-season)",0.0630553268826548,-0.419628758013841,TRUE
"ASV_94",21,5,2024-05-15,2024-07-10,56,3.21866797595956,0.0116903225806452,-2.06057010860349,0.180534435261708,"linear increase (late-season)",0.334903985239699,-0.214405456657141,TRUE
"ASV_95",44,6,2024-05-01,2024-07-10,70,0.422005397834375,0.757218079096045,-1.25473549861746,0.442713204373423,"no significant date pattern",0.0302757445414495,-0.0900188194820645,FALSE
"ASV_96",61,6,2024-05-01,2024-07-10,70,5.58977237373311,0.00713385826771654,-5.53328146823668,0.0212818791946309,"hump (peaks mid-season)",0.479773192831914,-0.474929252334753,TRUE
"ASV_97",68,6,2024-05-01,2024-07-10,70,-6.13699131106212,0.00713385826771654,3.26763696282363,0.0590502793296089,"dip (troughs mid-season)",-0.582206325290226,0.309998443439272,TRUE
"ASV_98",65,6,2024-05-01,2024-07-10,70,8.95467491833983,0.00713385826771654,-1.97962054718914,0.293946666666667,"linear increase (late-season)",0.659264741749749,-0.145745877857627,TRUE
"ASV_100",59,6,2024-05-01,2024-07-10,70,3.94565848995088,0.00713385826771654,-2.30053537353815,0.155950819672131,"linear increase (late-season)",0.391836972007301,-0.228464715473755,TRUE
"ASV_102",49,6,2024-05-01,2024-07-10,70,8.62738257590044,0.00713385826771654,-0.0240874614656756,0.99740354767184,"linear increase (late-season)",0.677590392948561,-0.00189183614081502,TRUE
"ASV_103",48,6,2024-05-01,2024-07-10,70,7.87172147403182,0.00713385826771654,-2.09065799160678,0.1981875,"linear increase (late-season)",0.665479007074304,-0.176746953117033,TRUE
"ASV_104",63,6,2024-05-01,2024-07-10,70,2.85101240936648,0.0201014263074485,-5.55438979742912,0.0212818791946309,"hump (peaks mid-season)",0.267371034204637,-0.520901856014698,TRUE
"ASV_105",64,6,2024-05-01,2024-07-10,70,0.626267815099994,0.686777469258231,-8.55069108009975,0.0212818791946309,"hump (peaks mid-season)",0.051599432926456,-0.704515178336336,TRUE
"ASV_108",68,6,2024-05-01,2024-07-10,70,-0.0283444047917792,0.988730512249443,-0.553282526360485,0.828808076325715,"no significant date pattern",-0.00336798161488364,-0.0657436220433684,FALSE
"ASV_109",59,6,2024-05-01,2024-07-10,70,-13.7392289319513,0.00713385826771654,0.72839275406106,0.764738324684952,"linear decrease (early-season)",-0.822791594596045,0.0436211795667796,TRUE
"ASV_113",5,4,2024-05-01,2024-06-26,56,-0.352807094219859,0.83444392939918,1.35205061833771,0.479337209302326,"no significant date pattern",-0.043110531482316,0.165212658963935,FALSE
"ASV_118",14,4,2024-05-15,2024-06-26,42,-1.12469086735646,0.389863275039746,-2.22222090234084,0.128964114832536,"no significant date pattern",-0.12603225477141,-0.249023348018982,FALSE
"ASV_122",56,6,2024-05-01,2024-07-10,70,-3.14275265180255,0.023824192336589,-2.61433990809029,0.128964114832536,"linear decrease (early-season)",-0.3280506667591,-0.272895942073689,TRUE
"ASV_125",65,6,2024-05-01,2024-07-10,70,2.66274721619381,0.0398867924528302,-7.12306488889506,0.0212818791946309,"hump (peaks mid-season)",0.236429738878593,-0.632475003252846,TRUE
"ASV_127",69,6,2024-05-01,2024-07-10,70,6.70535156647191,0.00713385826771654,1.05421681064951,0.574283752860412,"linear increase (late-season)",0.597523220987431,0.093943659474485,TRUE
"ASV_129",22,6,2024-05-01,2024-07-10,70,-1.33513948025802,0.332088876309086,-0.856388077641329,0.685146814404432,"no significant date pattern",-0.161141449440342,-0.10336072385096,FALSE
"ASV_130",28,6,2024-05-01,2024-07-10,70,1.15565305254289,0.426052307692308,0.0858299522556916,0.979947013328945,"no significant date pattern",0.143131177390498,0.0106304083113814,FALSE
"ASV_131",18,6,2024-05-01,2024-07-10,70,0.515953929032829,0.745551763367463,-0.826642114795072,0.699158490566038,"no significant date pattern",0.0611001887622438,-0.0978934101215083,FALSE
"ASV_133",64,6,2024-05-01,2024-07-10,70,12.6238558102916,0.00713385826771654,-2.4941857022796,0.152899371069182,"linear increase (late-season)",0.811763562846073,-0.160387536013197,TRUE
"ASV_135",39,6,2024-05-01,2024-07-10,70,-5.89255056451564,0.00713385826771654,0.536196258485174,0.83577811550152,"linear decrease (early-season)",-0.520079445546232,0.0473254174337622,TRUE
"ASV_136",51,6,2024-05-01,2024-07-10,70,2.68889276723561,0.0516509598603839,-5.56155891005388,0.0212818791946309,"hump (peaks mid-season)",0.259521280452923,-0.536784956548973,TRUE
"ASV_139",56,6,2024-05-01,2024-07-10,70,4.22848926956843,0.00713385826771654,-5.76272359035262,0.0212818791946309,"hump (peaks mid-season)",0.388577652304919,-0.529571589934417,TRUE
"ASV_143",7,6,2024-05-01,2024-07-10,70,1.57149833334028,0.260848351648352,0.510368378133094,0.842889743589744,"no significant date pattern",0.185169381531829,0.0601372149610443,FALSE
"ASV_144",7,5,2024-05-01,2024-07-10,70,-0.740660443204316,0.639837916063676,1.81271579384845,0.282710578842315,"no significant date pattern",-0.087484027089643,0.214113295748348,FALSE
"ASV_146",52,6,2024-05-01,2024-07-10,70,-2.01765707518527,0.133461756373938,1.17266910147311,0.562511503834612,"no significant date pattern",-0.233850413494819,0.135915995896654,FALSE
"ASV_147",51,6,2024-05-01,2024-07-10,70,7.36032025092551,0.00713385826771654,-4.5645576939124,0.0212818791946309,"hump (peaks mid-season)",0.627809790954808,-0.389344797634827,TRUE
"ASV_148",61,6,2024-05-01,2024-07-10,70,12.3392162718409,0.00713385826771654,-1.57025932581747,0.409442307692308,"linear increase (late-season)",0.83644074199209,-0.106444514573107,TRUE
"ASV_149",59,6,2024-05-01,2024-07-10,70,3.53105374247075,0.00713385826771654,-5.31153388470243,0.0212818791946309,"hump (peaks mid-season)",0.341122325979552,-0.513133153358654,TRUE
"ASV_150",18,4,2024-05-01,2024-06-12,42,-4.24290145660284,0.00713385826771654,0.893194760625541,0.696261859582543,"linear decrease (early-season)",-0.425699045583472,0.0896169584751599,TRUE
"ASV_153",69,6,2024-05-01,2024-07-10,70,-5.33715092766741,0.00713385826771654,-0.35315604563101,0.877613577023499,"linear decrease (early-season)",-0.546728031415974,-0.0361770211966332,TRUE
"ASV_154",8,5,2024-05-01,2024-07-10,70,-0.688336209970905,0.694516574585635,0.455519823178344,0.867226818830243,"no significant date pattern",-0.0831259536362794,0.0550107552741196,FALSE
"ASV_156",64,6,2024-05-01,2024-07-10,70,-1.00061413269212,0.470817109144543,-2.38489570140892,0.115010362694301,"no significant date pattern",-0.112195208459443,-0.267412294294646,FALSE
"ASV_157",13,6,2024-05-01,2024-07-10,70,0.0587722418136409,0.975223450264296,1.60920443067757,0.380457114526525,"no significant date pattern",0.00635376321790322,0.173969971007778,FALSE
"ASV_158",66,6,2024-05-01,2024-07-10,70,-3.4338472005057,0.023824192336589,1.20201881882654,0.515778993435449,"linear decrease (early-season)",-0.37136739345728,0.129998509385565,TRUE
"ASV_159",31,6,2024-05-01,2024-07-10,70,-1.34976428399171,0.279366167023555,1.87897864712428,0.266985507246377,"no significant date pattern",-0.100259836197775,0.139571004910349,FALSE
"ASV_160",31,6,2024-05-01,2024-07-10,70,0.946016458148284,0.507300141576215,-5.41590334703602,0.0212818791946309,"hump (peaks mid-season)",0.0964911962362509,-0.552413401305537,TRUE
