"taxon","in_top3axes_CoCA","in_PCoA1_date","in_PCoA3_lure","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_272",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__prunicola"
"ASV_276",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Erythrobasidium","s__hasegawae"
"ASV_281",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_286",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Scoliciosporaceae","g__Scoliciosporum","s__chlorococcum"
"ASV_292",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Coccomyces","s__strobi"
"ASV_298",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Hyphozyma","s__roseonigra"
"ASV_302",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Lachnaceae","g__Proliferodiscus","s__earoleucus"
"ASV_309",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA
"ASV_311",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Pseudopithomyces",NA
"ASV_312",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"ASV_316",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_335",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_343",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__inositophila"
"ASV_362",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium","s__slooffiae"
"ASV_366",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Hannaella","s__surugaensis"
"ASV_368",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_381",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Rhizosphaera",NA
"ASV_383",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Lophiostomataceae_gen_Incertae_sedis",NA
"ASV_390",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__inositophila"
"ASV_392",FALSE,TRUE,TRUE,"k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_394",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Paracladophialophoraceae","g__Paracladophialophora",NA
"ASV_397",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae","g__Phaeomoniella",NA
"ASV_406",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__beilinensis"
"ASV_411",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Coccomyces","s__strobi"
"ASV_412",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__cinerea"
"ASV_416",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Sphaerulina","s__abeliceae"
"ASV_417",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__coprosmae"
"ASV_427",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_429",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Xylodon","s__flaviporus"
"ASV_442",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"ASV_459",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Spirographaceae","g__Spirographa","s__fusisporella"
"ASV_469",FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA
"ASV_485",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__cinerea"
"ASV_500",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__mucilaginosa"
"ASV_503",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Lachnellula","s__calyciformis"
"ASV_504",FALSE,TRUE,TRUE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Stereum",NA
"ASV_506",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"ASV_511",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Coryneliales","f__Coryneliaceae","g__Coryneliaceae_gen_Incertae_sedis",NA
"ASV_514",FALSE,TRUE,TRUE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_1905",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__prunicola"
"ASV_3972",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum"
"ASV_5162",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Ophiostomatales","f__Ophiostomataceae","g__Sporothrix",NA
"ASV_3380",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae",NA,NA
"ASV_2204",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Pyrenopeziza",NA
"ASV_4626",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta"
"ASV_1004",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Atractiellomycetes","o__Atractiellales","f__Phleogenaceae","g__Phleogena","s__faginea"
"ASV_199",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Cyberlindnera","s__misumaiensis"
"ASV_1505",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Ogataea",NA
"ASV_4597",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_1395",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Calosphaeriales","f__Calosphaeriaceae","g__Jattaea",NA
"ASV_3425",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Phaeoannellomyces",NA
"ASV_3328",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_2075",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__alni"
"ASV_2139",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"ASV_5854",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_9610",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae",NA,NA
"ASV_1122",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Ophiostomatales","f__Ophiostomataceae","g__Raffaelea","s__arxii"
"ASV_2007",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__ponderosae"
"ASV_7679",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Pyrenopeziza",NA
"ASV_1687",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Radulomycetaceae","g__Radulomyces","s__paumanokensis"
"ASV_1814",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_7810",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Atheliaceae","g__Athelia",NA
"ASV_13213",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Colacogloeaceae",NA,NA
"ASV_4268",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tympanidaceae","g__Tympanis","s__amelanchieris"
"ASV_3379",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrypella",NA
"ASV_11293",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Stereum","s__sanguinolentum"
"ASV_5364",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__pubescens"
"ASV_6291",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Atractiellomycetes","o__Atractiellales","f__Phleogenaceae","g__Phleogena","s__faginea"
"ASV_14061",TRUE,FALSE,FALSE,"k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_11609",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium","s__herbarum"
"ASV_3926",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae",NA,NA
"ASV_1739",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Erythrobasidiales","f__Erythrobasidiaceae","g__Erythrobasidium",NA
"ASV_3125",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tympanidaceae","g__Tympanis",NA
"ASV_2050",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Arthoniomycetes",NA,NA,NA,NA
"ASV_7977",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,NA,NA
"ASV_9078",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium","s__kishianum"
"ASV_5045",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Lophodermium","s__australe"
"ASV_5254",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Atractiellomycetes","o__Atractiellales","f__Phleogenaceae","g__Phleogena","s__faginea"
"ASV_9550",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_5214",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__alni"
"ASV_5115",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__alni"
"ASV_15374",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Puccinia","s__striiformis"
"ASV_20142",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Dacrymycetes","o__Dacrymycetales","f__Dacrymycetaceae","g__Dacrymyces","s__chrysocomus"
"ASV_7025",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Lichenostigmatales_fam_Incertae_sedis","g__Lichenostigmatales_gen_Incertae_sedis",NA
"ASV_11794",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae","g__Hamamotoa","s__lignophila"
"ASV_4871",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Polyporus","s__varius"
"ASV_4315",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"ASV_2770",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Nakazawaea",NA
"ASV_10251",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Spirographaceae","g__Spirographa","s__fusisporella"
"ASV_2212",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes",NA,NA,NA,NA
"ASV_5528",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Chionosphaeraceae","g__Mycogloea","s__nipponica"
"ASV_4833",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Myxotrichaceae","g__Myxotrichum",NA
"ASV_17560",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA
"ASV_2358",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales",NA,NA,NA
"ASV_6273",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_14257",TRUE,FALSE,FALSE,"k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Caryophyllales","f__Caryophyllaceae","g__Gypsophila","s__pilosa"
"ASV_5467",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Lophodermium","s__australe"
"ASV_4083",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Mollisiaceae","g__Phialocephala",NA
"ASV_2691",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Melanommataceae","g__Uzbekistanica","s__vitis-viniferae"
"ASV_12368",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Carcinomycetaceae","g__Carcinomyces","s__polyporinus"
"ASV_3369",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Aspergillus",NA
"ASV_4605",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coronophorales","f__Scortechiniaceae",NA,NA
"ASV_2213",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_9707",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"ASV_19483",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_13108",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Dasyscyphella","s__nivea"
"ASV_13706",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Durella","s__macrospora"
"ASV_8783",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycopsidaceae",NA,NA
"ASV_1187",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"ASV_3677",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_15148",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Barbatosphaeria","s__hippocrepida"
"ASV_12132",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__stigma"
"ASV_4962",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"ASV_3455",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Retiarius","s__bovicornutus"
"ASV_21917",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Sirobasidiaceae","g__Sirobasidium","s__brefeldianum"
"ASV_18169",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Trichomonascaceae","g__Spencermartinsiella","s__europaea"
"ASV_9583",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Valsa",NA
"ASV_24897",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Neocatenulostroma",NA
"ASV_9132",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Pyrenopeziza","s__caespiticia"
"ASV_13755",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_154",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Martiniozyma","s__abietophila"
"ASV_9635",TRUE,FALSE,FALSE,"k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_5903",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sareomycetes","o__Sareales","f__Sareaceae","g__Sarea","s__coeloplata"
"ASV_11229",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Wiesneriomycetaceae","g__Spissiomyces",NA
"ASV_6633",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae",NA,NA
"ASV_3313",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Lipomycetaceae","g__Myxozyma","s__monticola"
"ASV_13239",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Irpex","s__lacteus"
"ASV_11336",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetidae_ord_Incertae_sedis","f__Pseudoperisporiaceae","g__Eudimeriolum",NA
"ASV_8197",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Cephalothecaceae","g__Cryptendoxyla","s__hypophloia"
"ASV_18718",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"ASV_6128",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_8524",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__dermatitidis"
"ASV_5599",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Celosporium",NA
"ASV_3958",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Atractiellomycetes","o__Atractiellales",NA,NA,NA
"ASV_19069",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_1381",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__succiphila"
"ASV_3923",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae","g__Pseudophaeomoniella","s__oleicola"
"ASV_14517",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae","g__Hyphozyma","s__roseonigra"
"ASV_3717",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_6917",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Eutypa","s__cerasi"
"ASV_18367",TRUE,FALSE,FALSE,"k__Viridiplantae","p__Anthophyta","c__Eudicotyledonae","o__Brassicales","f__Brassicaceae","g__Nevada","s__holmgrenii"
"ASV_11239",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_3163",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium",NA
"ASV_13192",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_11723",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Pachyramichloridium","s__pini"
"ASV_9145",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"ASV_7978",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Epibryaceae","g__Epibryon","s__interlamellare"
"ASV_10835",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"ASV_11116",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"ASV_12548",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Lophodermium","s__macci"
"ASV_12567",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_20375",TRUE,FALSE,FALSE,"k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_4353",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae",NA,NA
"ASV_12770",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Atheliales","f__Byssocorticiaceae","g__Leptosporomyces","s__fuscostratus"
"ASV_9406",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiales_fam_Incertae_sedis","g__Filobasidiales_gen_Incertae_sedis",NA
"ASV_9392",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mytilinidiales","f__Mytilinidiaceae","g__Lophium","s__arboricola"
"ASV_14834",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Sirobasidiaceae","g__Fibulobasidium","s__inconspicuum"
"ASV_9691",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"ASV_3213",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV_319",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae",NA,NA
"ASV_7764",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"ASV_10510",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Valsa",NA
"ASV_16269",TRUE,FALSE,FALSE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Tremella",NA
"ASV_1087",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"ASV_2285",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Cladoniaceae","g__Cladonia","s__caespiticia"
"ASV_18008",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Cladosporiaceae","g__Cladosporium",NA
"ASV_24648",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Ophiocordycipitaceae","g__Tolypocladium",NA
"ASV_7880",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_886",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA
"ASV_4689",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_18711",TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"ASV_10295",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA
"ASV_2608",TRUE,FALSE,FALSE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Ascosphaerales","f__Ascosphaeraceae","g__Ascosphaera","s__solina"
