"metric","rho","S_stat","p_value","n"
"shannon",0.187006145741879,42596,0.126597240276038,68
"simpson_dominance",0.222603948973271,40730.8886974944,0.0680653546058264,68
"richness",0.213459522906814,41210.0017568204,0.0804980062567529,68
