"grid","beetle","fungal_unit","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","beetle_is_target"
"genus","Conophthorus coniperda","Raffaelea",69,4,10,1,3,9,56,0.0769230769230769,0.0400264234681451,0.0488200838355169,0.755767924922925,0.45,0.9395,0.9,1,0.473539070515824,0.880253799162692,"co-occurring",FALSE
"genus","Conophthorus coniperda","Ophiostoma",69,4,23,1,3,22,43,0.0384615384615385,0.0753942439447152,0.0373311556452851,-0.989326605211625,0.9615,0.3495,0.699,1,1,1,"avoiding",FALSE
"genus","Corthylus columbianus","Ceratocystiopsis",69,7,21,5,2,16,46,0.217391304347826,0.0964465547526643,0.0453540801456154,2.66667848199881,0.0245,1,0.049,0.445238095238095,0.0237970984239641,0.183002393876191,"co-occurring",FALSE
"genus","Corthylus columbianus","Hawksworthiomyces",69,7,10,2,5,8,54,0.133333333333333,0.071732729918073,0.0597754650774685,1.03053323525675,0.297,0.9445,0.594,1,0.266172763469687,0.690830073127431,"co-occurring",FALSE
"genus","Corthylus columbianus","Graphilbum",69,7,20,3,4,17,45,0.125,0.0994968764189256,0.0502393105620612,0.507632833646674,0.4495,0.8375,0.899,1,0.404962538193443,0.822638409336459,"co-occurring",FALSE
"genus","Corthylus columbianus","Any Ophiostomatales",69,7,44,5,2,39,23,0.108695652173913,0.103929862231822,0.0273874163740033,0.174013856473688,0.6065,0.724,1,1,1,1,"co-occurring",FALSE
"genus","Corthylus columbianus","Leptographium",69,7,20,2,5,18,44,0.08,0.120046683420763,0.0489105075474939,-0.818774644321074,0.901,0.3745,0.749,1,1,1,"avoiding",FALSE
"genus","Corthylus columbianus","Ophiostoma",69,7,23,2,5,21,41,0.0714285714285714,0.10022494405807,0.049462847756487,-0.582181858417606,0.851,0.472,0.944,1,1,1,"avoiding",FALSE
"genus","Corthylus columbianus","Sporothrix",69,7,34,2,5,32,30,0.0512820512820513,0.101335311929655,0.0359553649724615,-1.39209435604228,0.9705,0.154,0.308,1,0.428255877801627,0.822638409336459,"avoiding",FALSE
"genus","Corthylus columbianus","Grosmannia",69,7,18,0,7,18,44,0,0.0737808203932564,0.0464788308259895,-1.58740697823235,1,0.1105,0.221,1,0.177405576253727,0.553375191984102,"avoiding",FALSE
"genus","Corthylus columbianus","Raffaelea",69,7,10,0,7,10,52,0,0.0546445841968607,0.0511557888835817,-1.06819942355339,1,0.3655,0.731,1,0.582374743438033,0.935391966058339,"avoiding",FALSE
"genus","Corthylus columbianus","Ophiostomatales (unclassified genus)",69,7,7,0,7,7,55,0,0.0541978448431685,0.0640951974651731,-0.845583553629233,1,0.4825,0.965,1,1,1,"avoiding",FALSE
"genus","Crypturgus alutaceus","Ceratocystiopsis",69,5,21,2,3,19,45,0.0833333333333333,0.0975215030816756,0.0436044281841887,-0.325383690124551,0.798,0.6025,1,1,0.636412753181849,0.953726981305219,"avoiding",FALSE
"genus","Crypturgus alutaceus","Hawksworthiomyces",69,5,10,1,4,9,55,0.0714285714285714,0.112194084055018,0.075938415188645,-0.53682332618053,0.866,0.5445,1,1,0.554533059667235,0.935391966058339,"avoiding",FALSE
"genus","Crypturgus alutaceus","Sporothrix",69,5,34,2,3,32,32,0.0540540540540541,0.0737892959214144,0.0274331702531765,-0.71939340897267,0.902,0.422,0.844,1,1,1,"avoiding",FALSE
"genus","Crypturgus alutaceus","Any Ophiostomatales",69,5,44,2,3,42,22,0.0425531914893617,0.0778963952397342,0.019785814603375,-1.78629004965729,0.994,0.0955,0.191,0.906666666666667,0.344488456791392,0.774054598190497,"avoiding",FALSE
"genus","Crypturgus alutaceus","Graphilbum",69,5,20,1,4,19,45,0.0416666666666667,0.0749014164526258,0.0416773759261596,-0.797429037875168,0.921,0.4155,0.831,1,1,1,"avoiding",FALSE
"genus","Crypturgus alutaceus","Leptographium",69,5,20,1,4,19,45,0.0416666666666667,0.0588106141344719,0.0337325059109503,-0.508232252684196,0.882,0.566,1,1,1,1,"avoiding",FALSE
"genus","Crypturgus alutaceus","Ophiostoma",69,5,23,1,4,22,42,0.037037037037037,0.0679138714656487,0.0363671562489322,-0.849030763287089,0.927,0.39,0.78,1,0.658269737286419,0.953726981305219,"avoiding",FALSE
