"Class","lifestyle","cat","n"
"Dothideomycetes","animal parasite","Bimodal (early + late)",2
"Sordariomycetes","animal parasite","Bimodal (early + late)",2
"Saccharomycetes","nectar/tap saprotroph","Bimodal (early + late)",2
"Agaricomycetes","soil saprotroph","Bimodal (early + late)",2
"Leotiomycetes","soil saprotroph","Bimodal (early + late)",2
"Sordariomycetes","unspecified saprotroph","Peaks late season",2
"Agaricomycetes","wood saprotroph","Bimodal (early + late)",2
"Dothideomycetes","wood saprotroph","Bimodal (early + late)",2
"Sordariomycetes","wood saprotroph","Peaks mid-season",2
"Agaricomycetes","Other","Peaks late season",1
"Cystobasidiomycetes","Other","Peaks late season",1
"Leotiomycetes","Other","Bimodal (early + late)",1
"Microbotryomycetes","Other","Bimodal (early + late)",1
"Dothideomycetes","animal parasite","Peaks early season",1
"Cystobasidiomycetes","epiphyte","Peaks early season",1
"Leotiomycetes","foliar endophyte","Peaks early season",1
"Lecanoromycetes","lichen parasite","Peaks late season",1
"Lecanoromycetes","lichenized","Peaks mid-season",1
"Agaricomycetes","litter saprotroph","Peaks mid-season",1
"Dothideomycetes","litter saprotroph","Peaks mid-season",1
"Leotiomycetes","litter saprotroph","Peaks mid-season",1
"Dothideomycetes","litter saprotroph (+plant pathogen)","Bimodal (early + late)",1
"Dothideomycetes","litter saprotroph (+plant pathogen)","Peaks early season",1
"Microbotryomycetes","mycoparasite","Peaks early season",1
"Saccharomycetes","nectar/tap saprotroph","Peaks mid-season",1
"Agaricomycetes","plant pathogen","Bimodal (early + late)",1
"Sordariomycetes","plant pathogen","Bimodal (early + late)",1
"Taphrinomycetes","plant pathogen","Peaks early season",1
"Eurotiomycetes","soil saprotroph","Peaks late season",1
"Leotiomycetes","soil saprotroph","Peaks late season",1
"Microbotryomycetes","soil saprotroph","Peaks early season",1
"Tremellomycetes","soil saprotroph","Peaks early season",1
"Dothideomycetes","sooty mold","Peaks early season",1
"Leotiomycetes","unspecified","Peaks late season",1
"Microbotryomycetes","unspecified saprotroph","Peaks mid-season",1
"Leotiomycetes","wood saprotroph","Peaks late season",1
"Leotiomycetes","wood saprotroph","Peaks mid-season",1
"Agaricomycetes","wood saprotroph (+plant pathogen)","Peaks mid-season",1
