"Class","lifestyle","direction","n"
"Eurotiomycetes","animal parasite","PCoA1- / earlier-season, bark-beetle-dominated insect community",2
"Dothideomycetes","animal parasite","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
"Eurotiomycetes","animal parasite","PCoA1+ / later-season, fungivorous insect community",1
"Leotiomycetes","foliar endophyte","PCoA1+ / later-season, fungivorous insect community",1
"Leotiomycetes","plant pathogen","PCoA1+ / later-season, fungivorous insect community",1
"Sordariomycetes","plant pathogen","PCoA1+ / later-season, fungivorous insect community",1
"Sordariomycetes","plant pathogen","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
"Agaricomycetes","wood saprotroph","PCoA1- / earlier-season, bark-beetle-dominated insect community",1
