"Class","group","direction","n"
"Sordariomycetes","Diaporthales","PCoA2-",4
"Leotiomycetes","Helotiales","PCoA2-",3
"Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","PCoA2+",1
"Dothideomycetes","Pleosporales","PCoA2-",1
