"facet","group","direction","n"
"filamentous mycelium","plant pathogen : filamentous mycelium","PCoA2-",6
"Unclassified genus","Unclassified genus","PCoA2+",1
"Unclassified genus","Unclassified genus","PCoA2-",1
"filamentous mycelium","wood saprotroph : filamentous mycelium","PCoA2-",1
