"taxon","t_stat","p_perm","q_value","lure_F_stat","lure_r2","lure_q_value"
"ASV_8",0.964367917564893,0.118,0.943076923076923,0.867365807828543,0.0271575839373397,0.982973967684022
"ASV_10",5.3811136496091,0.084,0.943076923076923,20.7012578762604,0.401058189165924,0.982973967684022
"ASV_16",-1.6178429103493,0.594,0.943076923076923,1.74144771224138,0.0529077069518339,0.982973967684022
"ASV_19",-3.36996875983364,0.216,0.943076923076923,5.59259034944939,0.153270688334334,0.982973967684022
"ASV_21",-1.13610080967755,0.613,0.943076923076923,1.67842516949267,0.0518005573707233,0.982973967684022
"ASV_32",-2.16583191945762,0.24,0.943076923076923,2.77094892902719,0.0813410236752911,0.982973967684022
"ASV_35",1.66328760714684,0.224,0.943076923076923,1.66998679041152,0.0506132787389596,0.982973967684022
"ASV_42",-0.843597807983483,0.557,0.943076923076923,0.571515554914035,0.0185327617437307,0.982973967684022
"ASV_50",-0.740864996799719,0.13,0.943076923076923,7.38552962591185,0.193387895566643,0.982973967684022
"ASV_51",-0.394080615164687,0.51,0.943076923076923,0.614132669955484,0.0191950255196492,0.982973967684022
"ASV_54",4.39527635916513,0.105,0.943076923076923,12.7053127594753,0.290878238284457,0.982973967684022
"ASV_57",-1.7148184140312,0.183,0.943076923076923,6.58859558638009,0.175886830230696,0.982973967684022
"ASV_68",-0.475266749174507,0.301,0.943076923076923,0.459194580857865,0.0147440216855938,0.982973967684022
"ASV_71",0.388945283521899,0.402,0.943076923076923,0.334592711090695,0.0101643813965264,0.982973967684022
"ASV_73",-1.18270137246473,0.316,0.943076923076923,3.17132971922687,0.0918012402020163,0.982973967684022
"ASV_80",-2.04035667696179,0.146,0.943076923076923,2.0124942980588,0.0616736695491613,0.982973967684022
"ASV_82",-1.44857301096526,0.262,0.943076923076923,0.530864563518463,0.0171306988722792,0.982973967684022
"ASV_89",-2.72644479736821,0.057,0.943076923076923,3.42083696423351,0.100524508601309,0.982973967684022
"ASV_90",-1.49277885411578,0.294,0.943076923076923,0.450492415135109,0.0138568374320813,0.982973967684022
"ASV_92",-2.10581066427392,0.165,0.943076923076923,1.55097831871244,0.0475538452188381,0.982973967684022
"ASV_95",-2.80882966907044,0.035,0.943076923076923,3.46805051423326,0.100480580628404,0.982973967684022
"ASV_98",-1.17000774289173,0.583,0.943076923076923,1.03339194992605,0.0315754769441846,0.982973967684022
"ASV_100",1.18407586249203,0.265,0.943076923076923,0.702319428657091,0.0228445306292004,0.982973967684022
"ASV_102",-1.68438382816687,0.414,0.943076923076923,2.47834125440884,0.0747290492480687,0.982973967684022
"ASV_104",-1.47118631853548,0.533,0.943076923076923,0.860802939429325,0.0272088128269924,0.982973967684022
"ASV_108",-1.15421700141706,0.202,0.943076923076923,0.326903222767336,0.010437228051846,0.982973967684022
"ASV_109",-2.29302493316441,0.175,0.943076923076923,2.52424759769688,0.0778465404598868,0.982973967684022
"ASV_118",-2.34963888172625,0.372,0.943076923076923,1.83262303288788,0.0559686169809588,0.982973967684022
"ASV_125",-1.39964561692739,0.193,0.943076923076923,0.624849480379356,0.0193493098772589,0.982973967684022
"ASV_127",1.72037315177633,0.562,0.943076923076923,1.1269229994312,0.0348847745429081,0.982973967684022
"ASV_131",-3.20972369505721,0.051,0.943076923076923,2.15020172779174,0.0647958183019792,0.982973967684022
"ASV_133",-1.22653972541554,0.437,0.943076923076923,0.524755199782245,0.0160098141951225,0.982973967684022
"ASV_135",-1.51414061263905,0.021,0.943076923076923,2.27150688561402,0.0705256563557435,0.982973967684022
"ASV_138",-0.638176532476836,0.604,0.943076923076923,0.766088469290075,0.0254808402196714,0.982973967684022
"ASV_139",0.545240893837239,0.373,0.943076923076923,1.85643539295489,0.0576597273512097,0.982973967684022
"ASV_143",1.26916433849517,0.042,0.943076923076923,0.986115862862462,0.0304937672719681,0.982973967684022
"ASV_146",-0.652439293303993,0.22,0.943076923076923,0.310838112765279,0.00985386542721452,0.982973967684022
"ASV_149",1.16925544269333,0.243,0.943076923076923,1.64054516163014,0.0511219689267346,0.982973967684022
"ASV_157",2.13607241427306,0.574,0.943076923076923,4.24690673993922,0.120471850012846,0.982973967684022
"ASV_158",0.911222181492817,0.57,0.943076923076923,2.13544911093177,0.0632119253776688,0.982973967684022
"ASV_159",-1.71706703663025,0.278,0.943076923076923,5.50965876274866,0.150434539304547,0.982973967684022
"ASV_161",2.95797593592322,0.111,0.943076923076923,5.89067448338923,0.160599157780388,0.982973967684022
"ASV_164",-0.515339519961464,0.38,0.943076923076923,2.01103465075119,0.0612263241736714,0.982973967684022
"ASV_171",-1.612041458049,0.599,0.943076923076923,1.16245513879254,0.0360714199334642,0.982973967684022
"ASV_172",-1.74517911495441,0.214,0.943076923076923,0.944682690219688,0.0294907204742237,0.982973967684022
"ASV_173",-0.606779082693468,0.363,0.943076923076923,0.872977008902081,0.0277270269212124,0.982973967684022
"ASV_174",-0.617070681284541,0.544,0.943076923076923,2.04977777070769,0.0614851286077672,0.982973967684022
"ASV_178",-2.1562206978505,0.439,0.943076923076923,2.55373684001891,0.0761782692405626,0.982973967684022
"ASV_181",-1.43453286864988,0.014,0.943076923076923,1.21382700143757,0.0388456934886655,0.982973967684022
"ASV_182",-1.0288968015933,0.428,0.943076923076923,3.03707755555329,0.0894872873059882,0.982973967684022
"ASV_189",-1.47562885620726,0.567,0.943076923076923,0.51504274479024,0.0154224234998845,0.982973967684022
"ASV_193",-1.33170199299244,0.306,0.943076923076923,1.62354687705588,0.0512548517312688,0.982973967684022
"ASV_194",-1.05777521637793,0.482,0.943076923076923,0.514608355704461,0.0163204529558122,0.982973967684022
"ASV_201",0.487377288281262,0.605,0.943076923076923,0.628595588622958,0.0208340143390984,0.982973967684022
"ASV_203",4.52052328092406,0.11,0.943076923076923,17.3002764127552,0.358737250051032,0.982973967684022
"ASV_204",-1.48828306597571,0.467,0.943076923076923,1.71924909411807,0.0530778254051108,0.982973967684022
"ASV_205",-1.00183475806885,0.368,0.943076923076923,0.951480369942207,0.0298492559306725,0.982973967684022
"ASV_210",-2.7030199510899,0.12,0.943076923076923,4.33948619076363,0.123704357048271,0.982973967684022
"ASV_211",-0.939200097427078,0.401,0.943076923076923,1.36761015536004,0.0402249371369004,0.982973967684022
"ASV_215",-1.33063880632379,0.251,0.943076923076923,0.465824249682674,0.0145667940890955,0.982973967684022
"ASV_225",-1.66732713666205,0.124,0.943076923076923,1.97778554730963,0.0604281765784425,0.982973967684022
"ASV_229",2.18594436986787,0.343,0.943076923076923,1.59329716419314,0.0488814113779105,0.982973967684022
"ASV_238",-1.6619090546251,0.32,0.943076923076923,0.773308439379429,0.0241338404904834,0.982973967684022
"ASV_245",-0.636159711292071,0.606,0.943076923076923,0.826851972146974,0.0266651796843144,0.982973967684022
"ASV_247",-0.778978332667846,0.445,0.943076923076923,2.00848641201455,0.0613015104139211,0.982973967684022
"ASV_248",-1.55374063008815,0.51,0.943076923076923,2.55389428994256,0.0764919769943989,0.982973967684022
"ASV_256",0.889568251246225,0.43,0.943076923076923,1.52044446304402,0.0479127607133546,0.982973967684022
"ASV_260",-3.10041174146922,0.054,0.943076923076923,3.87003673935114,0.111553420822659,0.982973967684022
"ASV_262",1.91491633149879,0.329,0.943076923076923,1.57610112704112,0.0479229897199125,0.982973967684022
"ASV_264",0.237094486902987,0.576,0.943076923076923,2.40723536244382,0.0727939404797613,0.982973967684022
"ASV_266",0.713021103194553,0.197,0.943076923076923,0.566591877325862,0.0182236680580638,0.982973967684022
"ASV_270",-0.896857568569551,0.59,0.943076923076923,0.643654466448093,0.0193194734372692,0.982973967684022
"ASV_272",-0.30177946081495,0.53,0.943076923076923,2.21895686326621,0.0717474068694952,0.982973967684022
"ASV_275",-0.738831433577213,0.16,0.943076923076923,2.3355197840369,0.0711091058346932,0.982973967684022
"ASV_280",-1.46594894954507,0.599,0.943076923076923,1.76333075516835,0.054234656310899,0.982973967684022
"ASV_282",-0.556723816344335,0.561,0.943076923076923,0.528654458956101,0.017265129141937,0.982973967684022
"ASV_294",-1.60412451140963,0.337,0.943076923076923,1.62945568456131,0.049839005808318,0.982973967684022
"ASV_297",-1.70591077080654,0.326,0.943076923076923,1.24555796716157,0.038567555191156,0.982973967684022
"ASV_298",1.90709472423055,0.452,0.943076923076923,1.42288523444349,0.044618038996665,0.982973967684022
"ASV_305",-0.958385924868102,0.293,0.943076923076923,0.719829173856867,0.022830399245619,0.982973967684022
"ASV_307",-1.58945130587886,0.281,0.943076923076923,1.10190388680007,0.034242192568174,0.982973967684022
"ASV_309",-1.52176078187789,0.605,0.943076923076923,2.12655438915314,0.0630225290500952,0.982973967684022
"ASV_317",-0.745888571225245,0.074,0.943076923076923,2.52613918687218,0.0759771963559989,0.982973967684022
"ASV_320",-1.39325297260421,0.455,0.943076923076923,1.18292649447487,0.0364148845034294,0.982973967684022
"ASV_323",-1.98426817524558,0.346,0.943076923076923,3.24232956347252,0.0948419699490455,0.982973967684022
"ASV_328",-1.86130194290777,0.327,0.943076923076923,1.31840042412169,0.0407688793700944,0.982973967684022
"ASV_329",-1.4287481752403,0.227,0.943076923076923,1.02633001415272,0.0319093714529144,0.982973967684022
"ASV_330",-1.38220182581834,0.335,0.943076923076923,1.90076244738564,0.0582308394673316,0.982973967684022
"ASV_331",0.984638229834192,0.442,0.943076923076923,1.78065801523733,0.0551832315517544,0.982973967684022
"ASV_349",-2.51251900338842,0.234,0.943076923076923,1.42348855617343,0.0439035639332146,0.982973967684022
"ASV_352",-1.82481442727353,0.541,0.943076923076923,1.83445931342406,0.0554967168504806,0.982973967684022
"ASV_358",1.55438564440043,0.521,0.943076923076923,1.32514540957696,0.0410439537804619,0.982973967684022
"ASV_374",-1.01752454950898,0.436,0.943076923076923,0.482388343052081,0.0153927422103817,0.982973967684022
"ASV_377",2.00207885662078,0.072,0.943076923076923,3.42934905838069,0.0998093477295262,0.982973967684022
"ASV_383",-0.378910071292805,0.414,0.943076923076923,1.86080729243459,0.0582093197416313,0.982973967684022
"ASV_386",2.05807040366549,0.08,0.943076923076923,1.68770338188801,0.051701678795035,0.982973967684022
"ASV_388",0.334198221996555,0.381,0.943076923076923,1.23131500196143,0.039012393926853,0.982973967684022
"ASV_394",-0.814684291837414,0.087,0.943076923076923,0.632352404083711,0.0208253836450849,0.982973967684022
"ASV_395",-2.30612178207852,0.104,0.943076923076923,2.1829343406502,0.0656924141529371,0.982973967684022
"ASV_398",2.23770614410602,0.13,0.943076923076923,2.32455368755341,0.0696250368354539,0.982973967684022
"ASV_401",-0.526680176870775,0.584,0.943076923076923,0.274290790777457,0.00862620213056632,0.982973967684022
"ASV_402",-1.38721726505638,0.177,0.943076923076923,2.92007713920619,0.0864831123583855,0.982973967684022
"ASV_412",-2.73706013735638,0.206,0.943076923076923,3.49859444463539,0.101415377977235,0.982973967684022
"ASV_416",-0.31367578208531,0.565,0.943076923076923,0.34345752585767,0.00942591907968768,0.982973967684022
"ASV_419",-1.23482687148306,0.061,0.943076923076923,0.779246288553382,0.0251856346829403,0.982973967684022
"ASV_427",-1.31869635045257,0.361,0.943076923076923,0.895846865360733,0.0273126053230792,0.982973967684022
"ASV_428",-1.76055449810696,0.285,0.943076923076923,1.13279082677899,0.0353270270742454,0.982973967684022
"ASV_429",-1.80156769376512,0.215,0.943076923076923,1.60646205069686,0.0498169970639195,0.982973967684022
"ASV_433",-1.02129595239068,0.542,0.943076923076923,0.607005279759003,0.0195248462076844,0.982973967684022
"ASV_435",-2.65721724065579,0.146,0.943076923076923,1.99167482948595,0.0597100966462357,0.982973967684022
"ASV_446",-0.894130436165168,0.127,0.943076923076923,1.86468483710104,0.0576322869331912,0.982973967684022
"ASV_448",-0.914823597941717,0.413,0.943076923076923,0.814499237056318,0.0253353834701235,0.982973967684022
"ASV_450",-1.76637203752213,0.571,0.943076923076923,1.61367130926989,0.049478164318578,0.982973967684022
"ASV_461",-2.83471296211717,0.377,0.943076923076923,4.26165965044257,0.120674044347085,0.982973967684022
"ASV_471",-2.53938455249599,0.315,0.943076923076923,2.58511937932386,0.0771790194986495,0.982973967684022
"ASV_480",-0.477134560143807,0.611,0.943076923076923,1.03692948919473,0.0325385743617748,0.982973967684022
"ASV_485",-2.64502045012086,0.094,0.943076923076923,1.94427395407848,0.0591106003926124,0.982973967684022
"ASV_493",0.580530501214294,0.512,0.943076923076923,4.27929238607903,0.122551401345412,0.982973967684022
"ASV_497",-3.22895801976885,0.359,0.943076923076923,4.23807142446539,0.120266894748854,0.982973967684022
"ASV_500",-3.67869728360296,0.593,0.943076923076923,7.75959607484813,0.199869400647223,0.982973967684022
"ASV_503",2.3651554169475,0.557,0.943076923076923,2.87257616828264,0.0841705738328588,0.982973967684022
"ASV_504",-2.1036361929888,0.072,0.943076923076923,0.933540932681958,0.0292710183187595,0.982973967684022
"ASV_505",0.338921543492253,0.4,0.943076923076923,1.43613839351308,0.0451766041653203,0.982973967684022
"ASV_506",1.6551798450778,0.016,0.943076923076923,1.18260223015777,0.0352605504059879,0.982973967684022
"ASV_511",-1.0516460104975,0.124,0.943076923076923,4.11060010001098,0.115221105685329,0.982973967684022
"ASV_514",2.53723783952925,0.588,0.943076923076923,3.88109768753971,0.112441975577567,0.982973967684022
"ASV_517",-0.73071027295183,0.187,0.943076923076923,0.564036594581987,0.0172763511095469,0.982973967684022
"ASV_518",-1.87572578158964,0.314,0.943076923076923,1.95768108626007,0.0596489860600872,0.982973967684022
"ASV_520",1.56244731262258,0.385,0.943076923076923,7.00414470831204,0.183133372117222,0.982973967684022
"ASV_523",0.602752420660979,0.179,0.943076923076923,1.27833289531991,0.0405206331564935,0.982973967684022
"ASV_348",0.219089101219374,0.619,0.945038167938931,2.73271484241146,0.0823341533344663,0.982973967684022
"ASV_30",-0.361284328403953,0.64,0.948148148148148,1.06206074964044,0.0335255203470746,0.982973967684022
"ASV_77",-1.17401908767,0.638,0.948148148148148,0.789390888182707,0.0247627173883684,0.982973967684022
"ASV_231",-1.0197844075382,0.636,0.948148148148148,0.935352755252154,0.0284607097045758,0.982973967684022
"ASV_426",-0.51867147400775,0.639,0.948148148148148,0.781387792921663,0.0246796372953596,0.982973967684022
"ASV_11",-0.302424642390525,0.759,0.95,0.643455386784893,0.019795429756796,0.982973967684022
"ASV_31",-1.40610746464701,0.746,0.95,2.46601875802286,0.0718167035719747,0.982973967684022
"ASV_41",0.337045258849052,0.691,0.95,3.5647053006436,0.103855098980792,0.982973967684022
"ASV_65",0.13954156809368,0.778,0.95,0.671433835345953,0.0203667984778476,0.982973967684022
"ASV_74",-0.679919510043318,0.676,0.95,0.69209363530444,0.0216223386895109,0.982973967684022
"ASV_83",-0.953418920643811,0.779,0.95,0.668336972601848,0.0205469888564299,0.982973967684022
"ASV_103",-1.37443766608195,0.74,0.95,1.54146089145331,0.0464480382172269,0.982973967684022
"ASV_113",1.39501782945047,0.702,0.95,1.95383944288804,0.0593153880889574,0.982973967684022
"ASV_136",-1.04136196139402,0.76,0.95,0.817957045663813,0.0253826064025607,0.982973967684022
"ASV_144",1.39982520188839,0.731,0.95,1.95413632941724,0.0593970937914638,0.982973967684022
"ASV_148",-0.601123318874257,0.691,0.95,0.46980332527635,0.0160331266502025,0.982973967684022
"ASV_180",-0.357174163510532,0.775,0.95,0.489384274390191,0.0153587118869103,0.982973967684022
"ASV_184",-2.14919093441731,0.742,0.95,3.42302569533254,0.099580646460189,0.982973967684022
"ASV_209",0.220277425991366,0.713,0.95,1.68921562396997,0.0513307491976537,0.982973967684022
"ASV_251",-1.26083375314559,0.754,0.95,1.38602180867804,0.0427227387250471,0.982973967684022
"ASV_276",-2.03253952386281,0.742,0.95,3.39679174676872,0.0980645691740628,0.982973967684022
"ASV_302",-0.179133892405058,0.757,0.95,0.64340114751359,0.0219997124953984,0.982973967684022
"ASV_306",0.486340323930723,0.67,0.95,6.17343229957116,0.167279816897048,0.982973967684022
"ASV_316",-1.0987500537439,0.773,0.95,1.07679228889775,0.0339673066574601,0.982973967684022
"ASV_355",-0.162369690620673,0.7,0.95,3.39222488112355,0.0982190488177152,0.982973967684022
"ASV_366",-1.22930212920805,0.717,0.95,1.25545112774831,0.0383975963041452,0.982973967684022
"ASV_387",-1.55451667006948,0.682,0.95,1.60296652998059,0.0497884185744898,0.982973967684022
"ASV_390",-1.83622437054252,0.689,0.95,3.05227259998274,0.0878775667309458,0.982973967684022
"ASV_406",0.541688652944883,0.778,0.95,1.59653162072661,0.0467690272250552,0.982973967684022
"ASV_411",0.419256996074745,0.744,0.95,5.49749520702178,0.14788736248273,0.982973967684022
"ASV_418",-0.815169486165498,0.659,0.95,0.628224624551949,0.0198749245149504,0.982973967684022
"ASV_439",0.198530749794912,0.705,0.95,6.21974395425285,0.16707580204447,0.982973967684022
"ASV_469",-1.83554006007319,0.753,0.95,3.52638861578252,0.100886578596845,0.982973967684022
"ASV_512",0.529457042064625,0.647,0.95,0.601739057664402,0.0189041271516254,0.982973967684022
"ASV_34",-0.64846626598241,0.795,0.952095808383233,1.0714290104244,0.0335141547281681,0.982973967684022
"ASV_94",-2.26451402362311,0.792,0.952095808383233,5.56849594094881,0.151865298242972,0.982973967684022
"ASV_96",-0.621141483527779,0.794,0.952095808383233,0.484711292304613,0.0153390526249865,0.982973967684022
"ASV_362",-0.570823864317398,0.816,0.971428571428571,1.34249380190526,0.0406798611351298,0.982973967684022
"ASV_15",-0.503396207923822,0.843,0.973563218390805,2.29925191684463,0.0702012295631993,0.982973967684022
"ASV_44",-0.345251014009982,0.837,0.973563218390805,1.00736654010047,0.031021975112571,0.982973967684022
"ASV_281",0.906827636794195,0.837,0.973563218390805,2.39513826206061,0.0702087670272334,0.982973967684022
"ASV_312",-2.42373251049437,0.847,0.973563218390805,5.12847488006866,0.140580448882875,0.982973967684022
"ASV_343",-0.767526357396014,0.843,0.973563218390805,0.862111115268355,0.0264047661577515,0.982973967684022
"ASV_368",-0.56011166536469,0.827,0.973563218390805,0.466489806518442,0.015448988168956,0.982973967684022
"ASV_79",0.0763294639457159,0.865,0.981005586592179,0.976221163841093,0.0315691110293061,0.982973967684022
"ASV_218",0.337804633325185,0.859,0.981005586592179,4.22752621133242,0.121433460641953,0.982973967684022
"ASV_286",-0.0956200625682104,0.878,0.981005586592179,1.81223110587634,0.0569215890561135,0.982973967684022
"ASV_335",2.07107712513732,0.875,0.981005586592179,6.36374315298754,0.173165306274355,0.982973967684022
"ASV_516",0.446400310183264,0.874,0.981005586592179,3.96829414518372,0.112202700680974,0.982973967684022
"ASV_76",-0.0687524342089205,0.893,0.984615384615385,0.595017237715717,0.019361137224736,0.982973967684022
"ASV_235",-0.109138828334341,0.896,0.984615384615385,0.604502147620233,0.0194653638364349,0.982973967684022
"ASV_381",-1.06104025796537,0.888,0.984615384615385,0.926629882770776,0.0284457110849538,0.982973967684022
"ASV_85",0.961847576434165,0.934,0.988359788359788,1.96325972832791,0.0573889478728024,0.982973967684022
"ASV_176",0.0818909171522782,0.91,0.988359788359788,2.70472198325824,0.0774156503570601,0.982973967684022
"ASV_311",0.090109160833901,0.928,0.988359788359788,0.360391799080821,0.0123133340827826,0.982973967684022
"ASV_392",0.787745032334753,0.915,0.988359788359788,5.37405535936665,0.145017937406678,0.982973967684022
"ASV_417",-1.04840154199289,0.913,0.988359788359788,2.29627487658351,0.068944679022171,0.982973967684022
"ASV_442",0.238670841034702,0.928,0.988359788359788,1.27450534832318,0.038464973308721,0.982973967684022
"ASV_459",1.07836707688889,0.93,0.988359788359788,1.15816715675459,0.0366404786941111,0.982973967684022
"ASV_81",0.173509857088736,0.959,0.993782383419689,1.06587109153637,0.030376074856319,0.982973967684022
"ASV_292",0.427605640338763,0.957,0.993782383419689,8.08963603508862,0.204370825108474,0.982973967684022
"ASV_341",-0.0215653551570144,0.956,0.993782383419689,4.2371291112651,0.121388960279825,0.982973967684022
"ASV_397",0.174628294276822,0.953,0.993782383419689,2.48277815221759,0.072031379703413,0.982973967684022
"ASV_255",0.783882014632471,0.965,0.993846153846154,1.90106968224092,0.056870339658377,0.982973967684022
"ASV_408",-0.0210013605515988,0.969,0.993846153846154,0.724499240391505,0.0227208206462279,0.982973967684022
"ASV_213",0.991887749442219,0.987,1,3.46869572712751,0.101403513240841,0.982973967684022
"ASV_214",-0.013713901327229,0.991,1,0.548084580329945,0.0202253434079409,0.982973967684022
"ASV_236",0.453640273640341,1,1,1.83593227425072,0.0539872784674713,0.982973967684022
"ASV_250",0.02135757117263,0.998,1,1.85372694380957,0.0554507761691784,0.982973967684022
"ASV_321",-0.00556520876425709,0.997,1,1.44141328404,0.0436341425620296,0.982973967684022
