"grid","beetle","fungal_unit","genus","species","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction"
"asv","Dendroctonus valens","ASV_6746","Graphilbum",NA,69,14,4,2,12,2,53,0.125,0.102878645204956,0.0577282528540007,0.383198065096321,0.5705,0.8425,1,1,0.180631370004199,0.469641562010918,"co-occurring"
"asv","Dendroctonus valens","ASV_11600","Ophiostoma","undulatum",69,14,4,2,12,2,53,0.125,0.0714519024218003,0.0532838397787956,1.00495943611611,0.3245,0.947,0.649,1,0.180631370004199,0.469641562010918,"co-occurring"
"asv","Dendroctonus valens","ASV_23023","Sporothrix",NA,69,14,4,2,12,2,53,0.125,0.14197729116659,0.065309895690626,-0.259949751673347,0.7695,0.625,1,1,0.180631370004199,0.469641562010918,"avoiding"
"asv","Dendroctonus valens","ASV_7819","Hawksworthiomyces",NA,69,14,5,2,12,3,52,0.117647058823529,0.0891225841679016,0.0519352169868539,0.549231837480299,0.509,0.887,1,1,0.265602931633393,0.62151086002214,"co-occurring"
"asv","Dendroctonus valens","ASV_8974","Ophiostoma","karelicum",69,14,3,1,13,2,53,0.0625,0.0403951975987994,0.0298893755659131,0.739553837531811,0.6465,1,1,1,0.499274726113677,0.942179725085488,"co-occurring"
"asv","Dendroctonus valens","ASV_9224","Ophiostoma","sparsiannulatum",69,14,3,1,13,2,53,0.0625,0.0202288644322161,0.0292493597760432,1.44519866046457,0.324,1,0.648,1,0.499274726113677,0.942179725085488,"co-occurring"
"asv","Dendroctonus valens","ASV_5724","Graphilbum",NA,69,14,4,1,13,3,52,0.0588235294117647,0.0190389312303212,0.0275288092009827,1.44519866046452,0.324,1,0.648,1,1,1,"co-occurring"
"asv","Dendroctonus valens","ASV_22166","Grosmannia","cucullata",69,14,4,1,13,3,52,0.0588235294117647,0.0296913162463592,0.0294177951901097,0.99029220161271,0.505,1,1,1,1,1,"co-occurring"
"asv","Dendroctonus valens","ASV_25723","Ceratocystiopsis","manitobensis",69,14,4,1,13,3,52,0.0588235294117647,0.0835660477297482,0.0554548733282068,-0.446173921839947,0.8425,0.5815,1,1,1,1,"avoiding"
"asv","Dendroctonus valens","ASV_4044","Graphilbum",NA,69,14,6,1,13,5,50,0.0526315789473684,0.0829202010706093,0.0400201662564318,-0.756833990372868,0.945,0.4915,0.983,1,1,1,"avoiding"
"asv","Dendroctonus valens","ASV_22950","Sporothrix",NA,69,14,6,1,13,5,50,0.0526315789473684,0.026565914536216,0.0263211851700982,0.990292201612712,0.505,1,1,1,1,1,"co-occurring"
"asv","Dendroctonus valens","ASV_13560","Hawksworthiomyces",NA,69,14,7,1,13,6,49,0.05,0.0253376688344168,0.0250039743941618,0.986336443031297,0.507,1,1,1,1,1,"co-occurring"
"asv","Dendroctonus valens","ASV_27488","Ceratocystiopsis","synnemata",69,14,4,0,14,4,51,0,0,0,NA,1,1,1,1,0.575142191854029,0.980469054704239,"co-occurring"
"asv","Ips grandicollis","ASV_6117","Leptographium","gracile",69,19,13,8,11,5,45,0.333333333333333,0.362157667172786,0.0545890169233447,-0.528024417071451,0.8585,0.5105,1,1,0.00474300003099477,0.0659999236553804,"avoiding"
"asv","Ips grandicollis","ASV_8274","Sporothrix","rossii",69,19,12,7,12,5,45,0.291666666666667,0.311139930966798,0.0428936221923151,-0.453989737980681,0.857,0.5715,1,1,0.0143043696289403,0.12123494610516,"avoiding"
"asv","Ips grandicollis","ASV_13249","Ophiostoma","denticulatum",69,19,6,5,14,1,49,0.25,0.20204041414647,0.0393570247439349,1.21857752626284,0.3415,1,0.683,1,0.00507628322359018,0.0659999236553804,"co-occurring"
"asv","Ips grandicollis","ASV_6959","Ophiostoma","adjuncti",69,19,7,5,14,2,48,0.238095238095238,0.201035394414696,0.034317534122135,1.0799098661532,0.4185,1,0.837,1,0.014506745687797,0.12123494610516,"co-occurring"
"asv","Ips grandicollis","ASV_15258","Ophiostoma","pallidulum",69,19,7,5,14,2,48,0.238095238095238,0.210870445574757,0.0328103466814647,0.829762415642532,0.5635,1,1,1,0.014506745687797,0.12123494610516,"co-occurring"
"asv","Ips grandicollis","ASV_8895","Ceratocystiopsis","manitobensis",69,19,13,6,13,7,43,0.230769230769231,0.231676807064494,0.0339008299007445,-0.0267715067129747,0.7445,0.745,1,1,0.164435057784917,0.469241506361836,"avoiding"
"asv","Ips grandicollis","ASV_7886","Grosmannia",NA,69,19,4,4,15,0,50,0.210526315789474,0.151267363004812,0.0411843290247655,1.43887139083965,0.2535,1,0.507,1,0.00448351129726859,0.0659999236553804,"co-occurring"
"asv","Ips grandicollis","ASV_9363","Sporothrix",NA,69,19,5,4,15,1,49,0.2,0.144902321290514,0.03876287598404,1.42140327080404,0.259,1,0.518,1,0.0182789306734797,0.126062318030864,"co-occurring"
"asv","Ips grandicollis","ASV_8131","Graphilbum",NA,69,19,6,4,15,2,48,0.19047619047619,0.155549071354801,0.0327854518986249,1.0653237060568,0.427,1,0.854,1,0.0446842255732587,0.227306712698751,"co-occurring"
"asv","Ips grandicollis","ASV_6045","Sporothrix",NA,69,19,7,4,15,3,47,0.181818181818182,0.157141812012727,0.0301679829629753,0.817965517805419,0.5695,1,1,1,0.084920865420541,0.320507782393655,"co-occurring"
"asv","Ips grandicollis","ASV_7618","Leptographium","lundbergii",69,19,7,4,15,3,47,0.181818181818182,0.194529694736322,0.0365355759027621,-0.347921514963156,0.859,0.6455,1,1,0.084920865420541,0.320507782393655,"avoiding"
"asv","Ips grandicollis","ASV_15738","Graphilbum",NA,69,19,7,4,15,3,47,0.181818181818182,0.149884560198413,0.0329507959190879,0.969130508961994,0.4705,1,0.941,1,0.084920865420541,0.320507782393655,"co-occurring"
"asv","Ips grandicollis","ASV_16537","Graphilbum",NA,69,19,3,3,16,0,50,0.157894736842105,0.130985041392877,0.0332127126902062,0.810222751156472,0.5775,1,1,1,0.018494484101233,0.126062318030864,"co-occurring"
"asv","Ips grandicollis","ASV_17726",NA,NA,69,19,3,3,16,0,50,0.157894736842105,0.139999072217813,0.0289911019392497,0.617281283815703,0.7105,1,1,1,0.018494484101233,0.126062318030864,"co-occurring"
"asv","Ips grandicollis","ASV_23023","Sporothrix",NA,69,19,4,3,16,1,49,0.15,0.170427757738519,0.0370473926274159,-0.551395288298964,0.9125,0.5835,1,1,0.060527402513126,0.262285410890213,"avoiding"
"asv","Ips grandicollis","ASV_15268","Grosmannia","olivacea",69,19,5,3,16,2,48,0.142857142857143,0.124825540946644,0.0274055666026856,0.657953990585697,0.68,1,1,1,0.123900110272596,0.402675358385936,"co-occurring"
"asv","Ips grandicollis","ASV_21569","Sporothrix",NA,69,19,7,3,16,4,46,0.130434782608696,0.130575215143804,0.0377413989667116,-0.00372091493568316,0.7495,0.7415,1,1,0.384342428130839,0.817601165296512,"avoiding"
"asv","Ips grandicollis","ASV_3556","Sporothrix","rossii",69,19,9,3,16,6,44,0.12,0.136271469067867,0.0303715186747037,-0.535747627313073,0.8895,0.5495,1,1,0.698612898261527,1,"avoiding"
"asv","Ips grandicollis","ASV_3603","Sporothrix","eucastaneae",69,19,10,3,16,7,43,0.115384615384615,0.0953330755731952,0.0238803535698518,0.839666789386847,0.5585,1,1,1,1,1,"co-occurring"
"asv","Ips grandicollis","ASV_660","Grosmannia","francke-grosmanniae",69,19,13,3,16,10,40,0.103448275862069,0.104494913911744,0.0292624600143356,-0.0357672611654168,0.7525,0.7215,1,1,1,1,"avoiding"
