"taxon","t_stat","p_perm","beta_std","q_value","coca_strength"
"ASV_3380",-4.09289064228995,0.001,-0.907132930456154,0.0666666666666667,2.13548949730243
"ASV_5640",-4.25099564864379,0.001,-0.952948774752596,0.0666666666666667,1.91418342970866
"ASV_13213",3.60864718933268,0.001,1.05905429415203,0.0666666666666667,1.84666504866511
"ASV_192",-2.89753045687059,0.004,-0.636253404487635,0.0888888888888889,2.13923430375471
"ASV_9007",-3.65968446077747,0.004,-0.985120758005486,0.0888888888888889,1.83366797362631
"ASV_6273",-3.39110237678728,0.002,-0.821531322498651,0.0888888888888889,2.22555440799568
"ASV_5369",-3.29409774103161,0.003,-0.855336762532886,0.0888888888888889,1.85945808165231
"ASV_11019",-3.08557498181311,0.004,-0.81868650977855,0.0888888888888889,1.77299601352298
"ASV_10391",-3.21180944843743,0.003,-0.875951221077951,0.0888888888888889,1.98019406986248
"ASV_3345",-2.70011254473402,0.007,-0.66571905758071,0.14,1.8029231924002
"ASV_616",-2.18270206756636,0.012,-0.493259117147961,0.2,1.88038628954459
"ASV_4268",-2.82044463686036,0.014,-0.72037045698021,0.2,2.0878111819996
"ASV_10218",-2.67520250148452,0.014,-0.74791575330393,0.2,1.88328929866455
"ASV_5103",2.14770971748293,0.011,0.651330601210832,0.2,2.13970019860475
"ASV_1317",-2.55005294538644,0.019,-0.523401226180226,0.253333333333333,2.00612773323253
"ASV_4597",-2.48644549136803,0.022,-0.662418094595789,0.258823529411765,1.8304256673866
"ASV_3125",-2.49958059931451,0.021,-0.654379250469704,0.258823529411765,2.22567951366774
"ASV_10510",-2.58943762350529,0.024,-0.766338928681492,0.266666666666667,2.62988608609999
"ASV_3620",-2.41148001474878,0.027,-0.61322349558578,0.27,2.01080190790378
"ASV_9406",1.89406699529103,0.027,0.597108030165893,0.27,2.00289903601969
"ASV_3923",1.83254040462739,0.032,0.563131581924343,0.304761904761905,2.21152328392741
"ASV_6698",2.39551476242878,0.035,0.746750592466846,0.31304347826087,1.90359807967272
"ASV_5092",-2.16713108695912,0.036,-0.602831341849009,0.31304347826087,1.77235801398449
"ASV_88",-1.76879689161618,0.042,-0.31592132180933,0.35,1.85981451175514
"ASV_9583",-2.03342268567647,0.048,-0.584523017758644,0.384,2.45259710128537
"ASV_9528",1.91073498821227,0.051,0.577262948011567,0.392307692307692,2.22656478339598
"ASV_11723",1.59700226852487,0.057,0.506733909536196,0.422222222222222,2.08626043456107
"ASV_3064",-2.09157442453281,0.06,-0.663132238914177,0.428571428571429,1.75846236354526
"ASV_22164",-1.91880085248696,0.074,-0.570016043233669,0.510344827586207,1.93847536528093
"ASV_2912",-1.71968321832491,0.082,-0.408161920048411,0.546666666666667,1.81481702670294
"ASV_3328",1.66693447025937,0.087,0.525207127181956,0.561290322580645,1.82936501530273
"ASV_3859",-1.80887690224435,0.111,-0.540829561073052,0.57948717948718,1.93001359550663
"ASV_25414",1.71900178470079,0.113,0.577174700013714,0.57948717948718,2.22319622382026
