"taxon","t_stat","p_perm","beta_std","q_value","coca_strength"
"ASV_19175",3.54028758601167,0.001,1.27176240543537,0.025,2.35251338297376
"ASV_18544",3.04990110134304,0.001,1.14444065322275,0.025,2.30506988668101
"ASV_12734",2.75827852423405,0.001,0.933867472185304,0.025,2.73488807133962
"ASV_9818",-3.78916280816905,0.001,-1.40676763454057,0.025,1.75639499750558
"ASV_3449",3.06834035417767,0.001,0.84516014525102,0.025,1.78097318335556
"ASV_8188",3.68558791238169,0.001,1.16070409171253,0.025,1.98336967844687
"ASV_1433",2.84284061666583,0.001,0.842202816208089,0.025,2.37218380233338
"ASV_12553",3.8756574066513,0.001,1.22946219187497,0.025,1.9107668988677
"ASV_5092",-3.01203805265934,0.002,-0.985955714427605,0.0444444444444444,1.77235801398449
"ASV_7376",2.35993605638087,0.003,0.784292861865886,0.06,2.32503538030523
"ASV_4646",-3.0293329144742,0.005,-1.02834399735883,0.0666666666666667,2.24803329452633
"ASV_3345",-2.66124901045852,0.005,-0.772113149260859,0.0666666666666667,1.8029231924002
"ASV_5727",-1.89865203582892,0.004,-0.651429530258342,0.0666666666666667,2.08982454393459
"ASV_1482",2.28914338430452,0.004,0.755210242567969,0.0666666666666667,2.42848905161662
"ASV_11114",2.73091809027853,0.005,0.926182730944925,0.0666666666666667,2.05901938280243
"ASV_14407",-2.77217528614274,0.006,-1.0500095750562,0.075,1.79736525394271
"ASV_13242",2.54830263211579,0.008,0.811181874900701,0.0941176470588235,2.08714860266211
"ASV_192",-2.43400221619758,0.009,-0.628940253548959,0.1,2.13923430375471
"ASV_6698",2.65989959707724,0.01,0.975726905005182,0.105263157894737,1.90359807967272
"ASV_10391",-2.53601379708104,0.013,-0.81389442851766,0.13,1.98019406986248
"ASV_8937",1.81563735417841,0.016,0.610057132103479,0.152380952380952,2.24916975860002
"ASV_3125",-2.54185385238561,0.024,-0.783067615827223,0.218181818181818,2.22567951366774
"ASV_5640",-2.22121889287989,0.026,-0.585944614449217,0.222222222222222,1.91418342970866
"ASV_3620",-2.29279145537327,0.028,-0.68609773646083,0.222222222222222,2.01080190790378
"ASV_8396",-2.19599412887367,0.03,-0.76717574652698,0.222222222222222,2.26604724621812
