"taxon","t_stat","p_perm","q_value","coca_strength"
"ASV_19175",3.8777524384513,0.001,0.0285714285714286,2.35251338297376
"ASV_18544",3.10538999859121,0.001,0.0285714285714286,2.30506988668101
"ASV_12734",2.78161215907901,0.001,0.0285714285714286,2.73488807133962
"ASV_9818",-3.8535270740415,0.001,0.0285714285714286,1.75639499750558
"ASV_8188",2.73632484157582,0.001,0.0285714285714286,1.98336967844687
"ASV_1433",3.04072024209149,0.001,0.0285714285714286,2.37218380233338
"ASV_12553",3.54594618071286,0.001,0.0285714285714286,1.9107668988677
"ASV_3449",3.10508757940396,0.002,0.05,1.78097318335556
"ASV_5092",-3.12099076457691,0.003,0.0666666666666667,1.77235801398449
"ASV_14407",-2.84602518681895,0.004,0.08,1.79736525394271
"ASV_4646",-3.00339554546601,0.006,0.0875,2.24803329452633
"ASV_3345",-2.91135045437783,0.007,0.0875,1.8029231924002
"ASV_8937",2.07230191791615,0.006,0.0875,2.24916975860002
"ASV_7376",2.28776567337288,0.005,0.0875,2.32503538030523
"ASV_13242",2.42254905664358,0.007,0.0875,2.08714860266211
"ASV_11114",2.47195544256546,0.007,0.0875,2.05901938280243
"ASV_192",-2.47771664449926,0.009,0.0947368421052632,2.13923430375471
"ASV_6698",2.89929658196514,0.009,0.0947368421052632,1.90359807967272
"ASV_1482",2.25269152259546,0.009,0.0947368421052632,2.42848905161662
"ASV_22164",-2.76692285256004,0.014,0.14,1.93847536528093
"ASV_3125",-2.78939888367179,0.015,0.142857142857143,2.22567951366774
"ASV_22991",2.1925973150133,0.016,0.145454545454545,2.00467555177243
"ASV_88",-1.92938959230724,0.019,0.158333333333333,1.85981451175514
"ASV_7125",-2.48012033128779,0.019,0.158333333333333,1.82842923170035
"ASV_1905",-2.40984581967383,0.02,0.16,2.72891057699303
"ASV_5727",-1.66535205180222,0.021,0.161538461538462,2.08982454393459
"ASV_1687",-2.36891641558143,0.023,0.17037037037037,2.46750626235422
"ASV_5640",-2.27797406524744,0.03,0.206896551724138,1.91418342970866
"ASV_18169",-2.40176246391154,0.029,0.206896551724138,2.87037661221313
"ASV_8783",-2.70316368148328,0.033,0.22,1.86883044687764
"ASV_3620",-2.2467864269817,0.038,0.229411764705882,2.01080190790378
"ASV_4026",-2.19729296589216,0.039,0.229411764705882,1.86413933310225
"ASV_10391",-2.11236536402294,0.037,0.229411764705882,1.98019406986248
"ASV_9178",2.00678535565224,0.036,0.229411764705882,1.98090002960277
"ASV_8396",-2.01455891154953,0.041,0.234285714285714,2.26604724621812
"ASV_3380",-2.28163245116351,0.05,0.263157894736842,2.13548949730243
"ASV_9610",-2.34331061498187,0.048,0.263157894736842,1.96874445383062
"ASV_14881",1.85286944858201,0.05,0.263157894736842,2.12176561460337
"ASV_1317",-2.03986367013564,0.056,0.269767441860465,2.00612773323253
"ASV_2254",-1.98432814783099,0.058,0.269767441860465,1.95859637397772
"ASV_5317",-2.27588463152532,0.057,0.269767441860465,1.78033849972718
"ASV_10218",-2.04241147603576,0.054,0.269767441860465,1.88328929866455
"ASV_10510",-2.14935186573831,0.055,0.269767441860465,2.62988608609999
"ASV_25414",1.80187569279996,0.061,0.271111111111111,2.22319622382026
"ASV_23277",1.66191115306066,0.061,0.271111111111111,2.46564853981214
"ASV_616",-1.91621609910585,0.066,0.285106382978723,1.88038628954459
"ASV_7470",-1.98652013966087,0.067,0.285106382978723,1.83385791256365
"ASV_199",-2.0195803663124,0.073,0.304166666666667,2.6593206765134
"ASV_17560",1.76660378488905,0.082,0.33469387755102,1.79047306939956
"ASV_4626",-1.89066029016022,0.092,0.368,1.77914593507083
"ASV_6273",-1.67349539318205,0.094,0.368627450980392,2.22555440799568
"ASV_12447",1.62719614804826,0.1,0.384615384615385,2.08136704096343
"ASV_4268",-1.83167852469337,0.107,0.40377358490566,2.0878111819996
"ASV_19483",-1.89171096157355,0.119,0.421052631578947,2.48359620799505
"ASV_14932",-1.74617450774114,0.118,0.421052631578947,1.79745978146637
"ASV_3958",-1.77862894311826,0.118,0.421052631578947,1.76787901796962
"ASV_12870",-1.40691254902209,0.12,0.421052631578947,2.95589332243567
"ASV_9691",-1.67926719866711,0.123,0.424137931034483,2.90895173049435
"ASV_1235",-1.46696764424334,0.131,0.429508196721312,1.88540502660303
"ASV_7977",-1.59864027879114,0.13,0.429508196721312,2.47997351865929
"ASV_19706",-1.59423888415915,0.127,0.429508196721312,3.60181837031415
"ASV_7040",1.30404896524169,0.135,0.435483870967742,1.82796763229878
"ASV_29406",1.51221428406039,0.138,0.438095238095238,2.13094064679362
"ASV_9583",-1.52113092334716,0.144,0.45,2.45259710128537
"ASV_2912",-1.62175899372104,0.147,0.451515151515151,1.81481702670294
"ASV_9007",-1.53801299548035,0.149,0.451515151515151,1.83366797362631
"ASV_5369",-1.54291862139118,0.164,0.48955223880597,1.85945808165231
"ASV_9852",-1.361256128837,0.168,0.494117647058824,2.24565787852979
"ASV_27486",1.31556188050061,0.18,0.521739130434783,1.75082675352944
"ASV_7810",-1.30536399304021,0.212,0.59746835443038,2.88691617682916
"ASV_14061",-1.45053501591208,0.235,0.59746835443038,1.78189076329128
"ASV_3926",-1.20233154364907,0.234,0.59746835443038,2.347209761401
"ASV_2810",-1.28024072905512,0.225,0.59746835443038,2.34311239137314
"ASV_3064",-1.34119779351686,0.225,0.59746835443038,1.75846236354526
"ASV_23943",-1.28087072546366,0.236,0.59746835443038,1.90367512823925
