"axis","pct_var_explained","term","F_stat","r2_partial","r2_semipartial","r_pearson","p_value","p_type","q_value"
"insect_PCoA1",19.3115087534476,"date",252.984645024578,0.803165008265206,0.696930092341773,0.843461983023349,0.001,"permutation",0.003
"insect_PCoA1",19.3115087534476,"lure",17.5172326497374,0.361051768475757,0.0965140518071188,NA,0.029,"permutation",0.029
"insect_PCoA1",19.3115087534476,"site",2.38282184382382,0.103378512835082,0.019692818678645,NA,0.0778881491066548,"parametric",NA
"insect_PCoA2",9.53337830507994,"date",0.52112261821128,0.00833514493003464,0.00528673671069499,0.0638993622999597,0.465,"permutation",0.465
"insect_PCoA2",9.53337830507994,"lure",11.6827488881877,0.273711257885287,0.237040632168357,NA,0.005,"permutation",0.0075
"insect_PCoA2",9.53337830507994,"site",3.95173856202752,0.160519681324505,0.120269974456207,NA,0.0120886853843011,"parametric",NA
"insect_PCoA3",7.27560851473449,"date",3.65801337602421,0.0557131291054257,0.0175504599976021,-0.130703000150646,0.062,"permutation",0.093
"insect_PCoA3",7.27560851473449,"lure",70.4962035829257,0.694569856746691,0.676455044737793,NA,0.003,"permutation",0.0075
"insect_PCoA3",7.27560851473449,"site",0.600351750094249,0.0282292392064266,0.00864112425906778,NA,0.617205183030952,"parametric",NA
