"insect_taxon","fungal_taxon","t_stat","p_perm","q_value_within_insect","q_value_global","insect_order","insect_family","insect_subfamily","insect_genus","insect_species","fungal_kingdom","fungal_phylum","fungal_class","fungal_order","fungal_family","fungal_genus","fungal_species","direction"
"Pityogenes hopkinsi","ASV_1923",4.43934256254879,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Claussenomyces","s__olivaceus","positive"
"Pityogenes hopkinsi","ASV_1977",5.43335565242442,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta","positive"
"Pityogenes hopkinsi","ASV_2013",4.41192263415399,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi",NA,NA,NA,NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_2102",-3.8476019992551,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Tremella","s__globispora","negative"
"Pityogenes hopkinsi","ASV_2134",3.23452476320552,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Exobasidiales","f__Exobasidiaceae","g__Exobasidium","s__woronichinii","positive"
"Pityogenes hopkinsi","ASV_2272",3.76948165089605,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Lopadostomataceae","g__Lopadostoma",NA,"positive"
"Pityogenes hopkinsi","ASV_2369",-3.46070496647316,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Acericola","s__italica","negative"
"Pityogenes hopkinsi","ASV_2373",3.10117803296921,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Cinereomyces","s__lindbladii","positive"
"Pityogenes hopkinsi","ASV_2380",4.54402362000852,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Fomitopsis","s__pinicola","positive"
"Pityogenes hopkinsi","ASV_2432",5.52679723830938,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Celosporium",NA,"positive"
"Pityogenes hopkinsi","ASV_2450",4.93864470763326,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Exidiaceae","g__Exidia",NA,"positive"
"Pityogenes hopkinsi","ASV_2521",-3.73172406261226,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Melanchlenus",NA,"negative"
"Pityogenes hopkinsi","ASV_2593",4.20969955501631,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Valsa",NA,"positive"
"Pityogenes hopkinsi","ASV_2687",-3.71510588073167,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Trimorphomyces",NA,"negative"
"Pityogenes hopkinsi","ASV_2690",3.54678802124165,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Sydowiellaceae",NA,NA,"positive"
"Pityogenes hopkinsi","ASV_2737",-3.2297934917307,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Endosporiaceae","g__Endosporium",NA,"negative"
"Pityogenes hopkinsi","ASV_2741",5.08606068643145,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA,"positive"
"Pityogenes hopkinsi","ASV_2871",-3.67536989366543,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Mycenaceae","g__Mycena","s__abramsii","negative"
"Pityogenes hopkinsi","ASV_3032",-3.03694662934686,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA,"negative"
"Pityogenes hopkinsi","ASV_3108",4.49492059817922,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta","positive"
"Pityogenes hopkinsi","ASV_3163",-3.46128378045266,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium",NA,"negative"
"Pityogenes hopkinsi","ASV_3169",6.37606628722748,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomycetaceae_gen_Incertae_sedis",NA,"positive"
"Pityogenes hopkinsi","ASV_3208",5.65340212861663,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA,"positive"
"Pityogenes hopkinsi","ASV_3257",-2.37339207855486,0.001,0.022330985915493,0.371345579793341,"Coleoptera","Curculionidae","Scolytinae","Pityogenes","Pityogenes hopkinsi","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Chaetomellaceae","g__Chaetomella","s__oblonga","negative"
