"taxon","t_stat","p_perm","q_value","date_t_stat","date_q_value"
"ASV_67",3.52497098726492,0.001,0.0222222222222222,5.85259847815556,0.00763176895306859
"ASV_97",-3.30977077888399,0.001,0.0222222222222222,-5.62304281968645,0.00763176895306859
"ASV_201",3.96637531820581,0.001,0.0222222222222222,5.78904313361137,0.00763176895306859
"ASV_214",-4.19973299063157,0.001,0.0222222222222222,-13.2697262837257,0.00763176895306859
"ASV_217",-4.82650495530455,0.001,0.0222222222222222,-7.30751824630335,0.00763176895306859
"ASV_272",-3.96496637898332,0.001,0.0222222222222222,-12.7316815684546,0.00763176895306859
"ASV_548",-4.55581417920918,0.001,0.0222222222222222,-5.26985283943756,0.00763176895306859
"ASV_562",-4.02961283547977,0.001,0.0222222222222222,-8.79788148702818,0.00763176895306859
"ASV_657",-4.51396465952478,0.001,0.0222222222222222,-8.10139119414925,0.00763176895306859
"ASV_3",4.0216834253925,0.002,0.025,7.3884065334807,0.00763176895306859
"ASV_88",-3.07930431845887,0.002,0.025,-7.59625687581473,0.00763176895306859
"ASV_162",3.65306493353909,0.002,0.025,4.80685701013162,0.00763176895306859
"ASV_171",3.37681004282162,0.002,0.025,3.61878444436483,0.00763176895306859
"ASV_189",3.84708235199077,0.002,0.025,6.33266868522923,0.00763176895306859
"ASV_286",-3.48769600449436,0.002,0.025,-4.85672027576718,0.00763176895306859
"ASV_709",3.45303869361258,0.002,0.025,5.43825319517132,0.00763176895306859
"ASV_35",3.40905662648815,0.003,0.03,5.02143243703236,0.00763176895306859
"ASV_147",3.42267043920518,0.003,0.03,6.29543587186004,0.00763176895306859
"ASV_347",2.84956185542147,0.003,0.03,5.44049875583537,0.00763176895306859
"ASV_553",-3.14259273232107,0.003,0.03,-4.62135538491934,0.00763176895306859
"ASV_425",3.06620224965712,0.004,0.0347826086956522,3.98052480747981,0.00763176895306859
"ASV_459",-3.2869594261088,0.004,0.0347826086956522,-8.63692134706643,0.00763176895306859
"ASV_725",3.14203931125983,0.004,0.0347826086956522,3.26546992811568,0.00763176895306859
"ASV_183",2.59782662734189,0.005,0.0384615384615385,3.3921696554186,0.00763176895306859
"ASV_302",-3.85982713510169,0.005,0.0384615384615385,-7.28267636325249,0.00763176895306859
"ASV_435",2.93315076145786,0.005,0.0384615384615385,3.59229047560521,0.00763176895306859
"ASV_375",2.97014269835727,0.007,0.0518518518518519,5.87302543210331,0.00763176895306859
"ASV_534",-2.90081292177956,0.008,0.0571428571428571,-4.25337046267124,0.00763176895306859
"ASV_586",-2.89685867253006,0.01,0.0689655172413793,-8.66302853742694,0.00763176895306859
"ASV_192",-3.23803768863783,0.011,0.0702702702702703,-4.68801104777102,0.00763176895306859
"ASV_249",-2.58969285754157,0.013,0.0702702702702703,-8.34730416387689,0.00763176895306859
"ASV_499",-3.02099038440686,0.013,0.0702702702702703,-6.08348709139849,0.00763176895306859
"ASV_514",-2.63399371935519,0.012,0.0702702702702703,-6.40209874843692,0.00763176895306859
"ASV_527",-3.0341548921445,0.013,0.0702702702702703,-4.68282395236015,0.00763176895306859
"ASV_560",2.78974398020163,0.012,0.0702702702702703,-3.74772414535206,0.00763176895306859
"ASV_616",-3.47986670733847,0.011,0.0702702702702703,-5.92694844954517,0.00763176895306859
"ASV_768",-3.09118260757355,0.012,0.0702702702702703,-8.10104622107723,0.00763176895306859
"ASV_683",2.19814651382726,0.014,0.0717948717948718,5.33350477180384,0.00763176895306859
"ASV_759",-2.52139253636527,0.014,0.0717948717948718,-3.24797307253357,0.00763176895306859
"ASV_96",2.60955217119561,0.016,0.0761904761904762,4.46994819213896,0.00763176895306859
"ASV_678",-2.67020568403253,0.016,0.0761904761904762,-8.77499958908717,0.00763176895306859
"ASV_745",-2.58109423088171,0.016,0.0761904761904762,-3.97481754251315,0.00763176895306859
"ASV_333",3.50273810811933,0.018,0.0837209302325581,-3.09951507273462,0.00763176895306859
"ASV_702",-2.39045053900838,0.019,0.0863636363636364,-5.12133518522301,0.00763176895306859
"ASV_181",-3.02552678091147,0.022,0.0977777777777778,-4.05970190333881,0.00763176895306859
"ASV_218",-2.41274797157505,0.024,0.102127659574468,-3.41141730660662,0.00763176895306859
"ASV_381",2.46259447542217,0.024,0.102127659574468,7.54991054520865,0.00763176895306859
"ASV_512",2.71597884762069,0.025,0.104166666666667,-3.56977948130424,0.00763176895306859
"ASV_69",-2.08486454917974,0.026,0.106122448979592,-4.19846804805049,0.00763176895306859
"ASV_31",-2.58143944731665,0.027,0.108,8.69655742446063,0.00763176895306859
"ASV_311",-2.59284404175329,0.028,0.109803921568627,4.74390311584886,0.00763176895306859
"ASV_210",-2.44611812653887,0.03,0.111111111111111,-3.42397372057137,0.00763176895306859
"ASV_335",-2.41622797513226,0.029,0.111111111111111,-10.3927573825514,0.00763176895306859
"ASV_599",2.03854564983158,0.03,0.111111111111111,8.66199121396266,0.00763176895306859
"ASV_617",-3.04310940769939,0.031,0.112727272727273,-4.60053080118688,0.00763176895306859
"ASV_77",2.22050162080904,0.035,0.12280701754386,4.07931293994335,0.00763176895306859
"ASV_318",-2.19640949148148,0.035,0.12280701754386,-6.40921694355646,0.00763176895306859
"ASV_601",-2.69122717113487,0.039,0.13448275862069,6.29856031691351,0.00763176895306859
"ASV_734",-2.43613282334834,0.041,0.138983050847458,-8.11030888052472,0.00763176895306859
"ASV_587",-2.0309160071208,0.044,0.146666666666667,-7.7741168544206,0.00763176895306859
"ASV_222",-2.50503956685927,0.046,0.150819672131148,-6.76940714614469,0.00763176895306859
"ASV_414",-1.99560108336638,0.047,0.151612903225806,6.73469065565524,0.00763176895306859
"ASV_15",-2.22734171252385,0.052,0.16056338028169,-3.26585853993225,0.00763176895306859
"ASV_79",-1.93104920589037,0.056,0.16056338028169,-3.85452924832642,0.00763176895306859
"ASV_135",-1.99519053857108,0.057,0.16056338028169,-5.91369488622287,0.00763176895306859
