"taxon","t_stat","p_perm","q_value","date_t_stat","date_q_value"
"ASV_3",8.61334276314325,0.001,0.00143884892086331,7.37925053325075,0.00785290763968073
"ASV_26",4.15635603993989,0.001,0.00143884892086331,7.61860807729758,0.00785290763968073
"ASV_29",4.88034459522333,0.001,0.00143884892086331,4.3189850768953,0.00785290763968073
"ASV_31",4.09196252831773,0.001,0.00143884892086331,8.68102799437518,0.00785290763968073
"ASV_35",5.84361777363614,0.001,0.00143884892086331,5.01446797802878,0.00785290763968073
"ASV_62",-3.61456013249681,0.001,0.00143884892086331,-4.28701038389828,0.00785290763968073
"ASV_67",6.83725673949942,0.001,0.00143884892086331,5.84681606895828,0.00785290763968073
"ASV_69",-4.50875906804885,0.001,0.00143884892086331,-4.1962950637921,0.00785290763968073
"ASV_72",-5.58437807374227,0.001,0.00143884892086331,-6.79135057039337,0.00785290763968073
"ASV_75",4.57151981430491,0.001,0.00143884892086331,6.33094024251439,0.00785290763968073
"ASV_77",4.37478933689049,0.001,0.00143884892086331,4.07273883683532,0.00785290763968073
"ASV_79",-4.38827068776425,0.001,0.00143884892086331,-3.85425551635399,0.00785290763968073
"ASV_81",-6.10860793664533,0.001,0.00143884892086331,-12.6913298731661,0.00785290763968073
"ASV_85",-5.00691316733942,0.001,0.00143884892086331,-6.77566432643999,0.00785290763968073
"ASV_88",-7.61193419890677,0.001,0.00143884892086331,-7.59749881760547,0.00785290763968073
"ASV_96",4.95998527533171,0.001,0.00143884892086331,4.46406218315987,0.00785290763968073
"ASV_97",-6.43485966565914,0.001,0.00143884892086331,-5.6185804846244,0.00785290763968073
"ASV_98",5.44350421604483,0.001,0.00143884892086331,8.68079870509026,0.00785290763968073
"ASV_102",6.07146561274648,0.001,0.00143884892086331,8.6819145474695,0.00785290763968073
"ASV_103",5.66334156083013,0.001,0.00143884892086331,7.59840798759256,0.00785290763968073
"ASV_109",-8.69414962854936,0.001,0.00143884892086331,-13.7505405225555,0.00785290763968073
"ASV_127",4.06663483385281,0.001,0.00143884892086331,6.71480685536963,0.00785290763968073
"ASV_133",8.38796004931796,0.001,0.00143884892086331,12.029099032082,0.00785290763968073
"ASV_135",-5.79067942859752,0.001,0.00143884892086331,-5.91043799812439,0.00785290763968073
"ASV_138",-7.34571077436512,0.001,0.00143884892086331,-7.0895357719889,0.00785290763968073
"ASV_147",7.25816251705225,0.001,0.00143884892086331,6.28663136464284,0.00785290763968073
