"taxon","p_lure","q_lure"
"ASV_3",0.913733736323482,0.98843632896885
"ASV_15",0.140093190747113,0.98843632896885
"ASV_26",0.93041873687203,0.98843632896885
"ASV_31",0.340464486691092,0.98843632896885
"ASV_32",0.0975949014437083,0.922013066970095
"ASV_35",0.307665803563759,0.98843632896885
"ASV_67",0.998131454435683,0.999800803972657
"ASV_69",0.454551183392247,0.98843632896885
"ASV_72",0.693722016198799,0.98843632896885
"ASV_75",0.445127718685711,0.98843632896885
"ASV_77",0.536848867609946,0.98843632896885
"ASV_79",0.439935184973696,0.98843632896885
"ASV_80",0.176206617856928,0.98843632896885
"ASV_81",0.759763466193777,0.98843632896885
"ASV_84",0.918473071080103,0.98843632896885
"ASV_85",0.336898257306858,0.98843632896885
"ASV_88",0.176002529152844,0.98843632896885
"ASV_94",0.0106561401820798,0.319898505923286
"ASV_96",0.692721105507557,0.98843632896885
"ASV_97",0.958559807342725,0.98843632896885
"ASV_98",0.632818412026544,0.98843632896885
"ASV_100",0.54961914644007,0.98843632896885
"ASV_102",0.325638258967433,0.98843632896885
"ASV_103",0.45837817258566,0.98843632896885
"ASV_109",0.523289291556059,0.98843632896885
"ASV_127",0.516962392375065,0.98843632896885
"ASV_133",0.859186948477623,0.98843632896885
"ASV_135",0.224569933079382,0.98843632896885
"ASV_147",0.62120749277945,0.98843632896885
"ASV_148",0.860467751345505,0.98843632896885
"ASV_150",0.949554289629182,0.98843632896885
"ASV_153",0.304538270549694,0.98843632896885
"ASV_161",0.011196447707315,0.319898505923286
"ASV_162",0.945595243909266,0.98843632896885
"ASV_163",0.391397726044716,0.98843632896885
"ASV_166",0.404605372649359,0.98843632896885
"ASV_169",0.892115690765698,0.98843632896885
"ASV_171",0.38502186413253,0.98843632896885
"ASV_176",0.231918928069915,0.98843632896885
"ASV_181",0.371879180775807,0.98843632896885
"ASV_183",0.741084496764557,0.98843632896885
"ASV_188",0.835749555777053,0.98843632896885
"ASV_189",0.742725690857335,0.98843632896885
"ASV_191",0.719880808858103,0.98843632896885
"ASV_192",0.295986437613597,0.98843632896885
"ASV_193",0.288219625829047,0.98843632896885
"ASV_200",0.332972607683811,0.98843632896885
"ASV_201",0.646788574686437,0.98843632896885
"ASV_210",0.0296375192898878,0.512201276696932
"ASV_211",0.489461764188366,0.98843632896885
"ASV_214",0.844031412211789,0.98843632896885
"ASV_217",0.700210099163361,0.98843632896885
"ASV_218",0.03083864907904,0.512201276696932
"ASV_222",0.680067647342384,0.98843632896885
"ASV_223",0.264460842608093,0.98843632896885
"ASV_226",0.115715228475182,0.922013066970095
"ASV_230",0.918550572927602,0.98843632896885
"ASV_231",0.481497446025872,0.98843632896885
"ASV_234",0.939076078541424,0.98843632896885
"ASV_236",0.365870691570484,0.98843632896885
"ASV_249",0.851341555535878,0.98843632896885
"ASV_250",0.300251194250866,0.98843632896885
"ASV_253",0.573629022514802,0.98843632896885
"ASV_256",0.274934216513012,0.98843632896885
"ASV_260",0.0746070779550498,0.828967532833886
"ASV_261",0.909563504717349,0.98843632896885
"ASV_262",0.301147952325056,0.98843632896885
"ASV_265",0.714352691697374,0.98843632896885
"ASV_270",0.825908269375562,0.98843632896885
"ASV_272",0.513078750720593,0.98843632896885
