"value_type","metric","rho","S_stat","p_value","n"
"observed","richness",0.0805415349361609,50331.1563775945,0.510617886160772,69
"observed","shannon",-0.258458165875046,68888,0.0322912017373904,69
"observed","simpson",-0.126306174643771,61654,0.30031047652098,69
"asymptotic","richness",0.00577274388016076,54424,0.962469772754945,69
"asymptotic","shannon",-0.258238947753014,68876,0.0324419267004586,69
"asymptotic","simpson",-0.0798319327731093,59110,0.513487887556341,69
