"taxon","t_stat","p_perm","beta_std","q_value","coca_strength"
"ASV_199",-3.88107414714658,0.001,-0.414604465081495,0.025,2.90138101924657
"ASV_1505",-4.42257103894952,0.002,-0.46182311637007,0.025,2.20445390215714
"ASV_1905",-7.86897101502851,0.001,-0.614303626000738,0.025,2.1410295453401
"ASV_660",-4.6195865887431,0.002,-0.480229983836817,0.025,2.06649208840954
"ASV_2075",-3.65173924979965,0.002,-0.406251019412819,0.025,2.05670314690421
"ASV_3972",-4.64497486866406,0.001,-0.456622053821585,0.025,2.03183172155331
"ASV_534",-4.96531210868408,0.002,-0.435573694846929,0.025,1.99784694731991
"ASV_210",-4.11414510202215,0.002,-0.435288714435652,0.025,1.98132344619229
"ASV_5162",-4.22353924098616,0.002,-0.469484452702914,0.025,1.96717665266096
"ASV_3380",-5.31677888138502,0.001,-0.453547214964391,0.025,1.92279837144116
"ASV_2204",-3.75196937051093,0.001,-0.38898244081039,0.025,1.91173051380727
"ASV_5854",-3.29788519324166,0.002,-0.300747949792137,0.025,1.91010254279349
"ASV_4268",-4.25434635839031,0.002,-0.395954226165147,0.025,1.83768501542601
"ASV_545",-4.56053467816588,0.001,-0.433764568263175,0.025,1.80638655076083
"ASV_1632",-8.44080456947501,0.001,-0.628496089296026,0.025,1.71116116784629
"ASV_4175",3.50812942992965,0.001,0.366919135351489,0.025,1.70090139504084
"ASV_1122",-3.72177857686289,0.003,-0.414144068895387,0.0333333333333333,2.40124803786667
"ASV_20142",3.21947847113624,0.003,0.358544076292256,0.0333333333333333,2.13901748309263
"ASV_14517",2.80682415038181,0.004,0.308134597542038,0.0333333333333333,2.16096944909701
"ASV_4597",-3.98416517699365,0.004,-0.384569858437058,0.0333333333333333,2.03235838975434
"ASV_9550",-3.08785067665495,0.004,-0.303375495617607,0.0333333333333333,1.852642471279
"ASV_1004",-2.84059862406411,0.004,-0.310423204539549,0.0333333333333333,1.8505720718594
"ASV_9610",-3.78987400324876,0.004,-0.369533302623638,0.0333333333333333,1.7369370897562
"ASV_8864",-2.73556110206701,0.004,-0.311103268928983,0.0333333333333333,1.70096447543472
"ASV_6273",-3.54257070675353,0.005,-0.32630203554605,0.04,1.76799592459699
"ASV_80",-3.5341160479383,0.006,-0.368375660439809,0.0444444444444444,2.58388270351377
"ASV_2212",3.22692727830017,0.006,0.37893655312237,0.0444444444444444,1.78841667055948
"ASV_5115",-3.07810407165069,0.008,-0.34945611834198,0.05,2.5546221620422
"ASV_21917",3.08930679520665,0.007,0.352669113731371,0.05,2.18972984766767
"ASV_7810",-2.85953147602729,0.008,-0.34028435907869,0.05,1.97235713202192
"ASV_4871",2.65372070140109,0.008,0.312008148004899,0.05,1.88212867199919
"ASV_1739",2.78966824081037,0.008,0.318173021336243,0.05,1.78140104875641
"ASV_4626",-2.8965359260183,0.01,-0.331319679734088,0.0588235294117647,1.8484613469984
"ASV_3125",-2.91419674455044,0.01,-0.296227244982588,0.0588235294117647,1.74989674155888
"ASV_2050",-2.84885601313545,0.011,-0.337513290440155,0.0628571428571429,1.76748696542267
"ASV_248",-2.93467642363482,0.019,-0.3432074659189,0.0727272727272727,2.93014406416623
"ASV_5214",-3.24581822582614,0.017,-0.37011306804995,0.0727272727272727,2.80467809454045
"ASV_2770",-3.14255307750491,0.014,-0.347240456692513,0.0727272727272727,2.52023410737656
"ASV_5045",-2.51931696042517,0.019,-0.250238913957574,0.0727272727272727,2.33356416104203
"ASV_3328",-2.84044036547568,0.015,-0.328877412638334,0.0727272727272727,2.1923375688282
"ASV_6633",-2.91739545158616,0.02,-0.33392860136241,0.0727272727272727,2.03715493551179
"ASV_1687",-2.41384522926689,0.018,-0.289152940333203,0.0727272727272727,2.03235841814221
"ASV_1814",-3.47737794243084,0.016,-0.397501987265748,0.0727272727272727,2.02234872429437
"ASV_1395",-2.27995097195218,0.014,-0.257343993698562,0.0727272727272727,1.99283855180675
"ASV_5467",-2.25346013581673,0.017,-0.237836301313679,0.0727272727272727,1.97992238408301
"ASV_14061",-2.75453541225451,0.018,-0.311895204087729,0.0727272727272727,1.89433962833787
"ASV_11609",2.50870557210819,0.015,0.29858972732415,0.0727272727272727,1.88091064106034
"ASV_9078",2.57112406359208,0.02,0.293564234094798,0.0727272727272727,1.86286419545292
"ASV_1087",2.10815873339247,0.014,0.254148529797387,0.0727272727272727,1.77621307896735
"ASV_11293",-2.799841096255,0.016,-0.32522220236666,0.0727272727272727,1.7607529952607
"ASV_7025",-2.45617879277984,0.02,-0.276507472787342,0.0727272727272727,1.74028623732812
"ASV_6291",-2.23203452802342,0.019,-0.262532952331529,0.0727272727272727,1.73771667667325
