"taxon","p_lure","q_lure"
"ASV_2285",0.546237265518782,0.791238921689273
"ASV_10295",0.467540776789734,0.760228905349162
"ASV_248",0.0964327226696978,0.55350226190401
"ASV_2007",0.302226292539166,0.719115196710356
"ASV_886",0.837411688760075,0.920232625011071
"ASV_199",0.849717919711293,0.923606434468796
"ASV_4083",0.380315106691111,0.743441524976726
"ASV_5214",0.267498585291656,0.694801520238068
"ASV_7880",0.782896034490448,0.908848756200838
"ASV_13151",0.395294974159961,0.752942807923736
"ASV_5789",0.231737449149708,0.655789743778662
"ASV_3313",0.240739965820159,0.655789743778662
"ASV_4981",0.363875083580717,0.734281596929385
"ASV_12132",0.0328138850033317,0.55350226190401
"ASV_16141",0.772979810626758,0.904069953949425
"ASV_518",0.167615221168411,0.559935820027498
"ASV_11229",0.242642205198105,0.655789743778662
"ASV_80",0.176206617856928,0.577726615924355
"ASV_1381",0.0835661626193596,0.55350226190401
"ASV_2691",0.139344324661752,0.557377298647007
"ASV_5115",0.32728049229386,0.719115196710356
"ASV_4833",0.227446013837507,0.655789743778662
"ASV_319",0.749669972952682,0.882352375999126
"ASV_8489",0.452034259670177,0.759721444823826
"ASV_4052",0.154947544234966,0.559935820027498
"ASV_2770",0.0735777800835639,0.55350226190401
"ASV_19292",0.440564667103729,0.755484408553805
"ASV_11336",0.640460460340443,0.859678470255628
"ASV_19706",0.412796447367095,0.755484408553805
"ASV_2358",0.23933559823607,0.655789743778662
"ASV_1122",0.300807788998425,0.719115196710356
"ASV_11794",0.0264318354280144,0.55350226190401
"ASV_12548",0.128148585737606,0.55350226190401
"ASV_8640",0.0561235447364447,0.55350226190401
"ASV_7449",0.588202263592894,0.822306509601074
"ASV_11723",0.0318003306695955,0.55350226190401
"ASV_7978",0.496100736506527,0.763231902317735
"ASV_3923",0.321769377698542,0.719115196710356
"ASV_3958",0.520906879340382,0.777472954239377
"ASV_19598",0.545177567355423,0.791238921689273
"ASV_5045",0.166851534652495,0.559935820027498
"ASV_19483",0.6820618014561,0.870875047107734
"ASV_8783",0.166652326456366,0.559935820027498
"ASV_8208",0.0658859099030043,0.55350226190401
"ASV_3455",0.255272409495388,0.671769498672075
"ASV_10251",0.441958379003976,0.755484408553805
"ASV_15148",0.572043605474871,0.8128936775599
"ASV_2213",0.962336159884084,0.972056727155641
"ASV_5599",0.364655217748416,0.734281596929385
"ASV_20030",0.937635021731075,0.951913727645761
"ASV_4573",0.49307089259227,0.763231902317735
"ASV_13192",0.146915237870972,0.559935820027498
"ASV_8643",0.363488728511226,0.734281596929385
"ASV_18094",0.479948545679065,0.761823088379468
"ASV_10164",0.71653250597873,0.880352806336763
"ASV_5528",0.921391850852961,0.945017282926114
